# x phi
-317.4400000000000 -0.0000000000000
-314.8800000000000 -0.0000000000000
-312.3200000000000 -0.0000000000000
-309.7600000000000 -0.0000000000001
-307.2000000000000 -0.0000000000001
-304.6400000000000 -0.0000000000001
-302.0800000000000 -0.0000000000001
-299.5200000000000 -0.0000000000001
-296.9600000000000 -0.0000000000001
-294.4000000000000 -0.0000000000001
-291.8400000000000 -0.0000000000001
-289.2800000000000 -0.0000000000001
-286.7200000000000 -0.0000000000001
-284.1600000000000 -0.0000000000001
-281.6000000000000 -0.0000000000001
-279.0400000000000 -0.0000000000001
-276.4800000000000 -0.0000000000001
-273.9200000000000 -0.0000000000001
-271.3600000000000 -0.0000000000001
-268.8000000000000 -0.0000000000001
-266.2400000000000 -0.0000000000001
-263.6800000000000 -0.0000000000001
-261.1200000000000 -0.0000000000001
-258.5600000000000 -0.0000000000001
-256.0000000000000 -0.0000000000001
-253.4400000000000 -0.0000000000001
-250.8800000000000 -0.0000000000001
-248.3200000000000 -0.0000000000001
-245.7600000000000 -0.0000000000001
-243.2000000000000 -0.0000000000001
-240.6400000000000 -0.0000000000001
-238.0800000000000 -0.0000000000001
-235.5200000000000 -0.0000000000001
-232.9600000000000 -0.0000000000001
-230.4000000000000 -0.0000000000001
-227.8400000000000 -0.0000000000001
-225.2800000000000 -0.0000000000001
-222.7200000000000 -0.0000000000001
-220.1600000000000 -0.0000000000001
-217.6000000000000 -0.0000000000001
-215.0400000000000 -0.0000000000001
-212.4800000000000 -0.0000000000001
-209.9200000000000 -0.0000000000001
-207.3600000000000 -0.0000000000001
-204.8000000000000 -0.0000000000001
-202.2400000000000 -0.0000000000001
-199.6800000000000 -0.0000000000001
-197.1200000000000 -0.0000000000001
-194.5600000000000 -0.0000000000001
-192.0000000000000 -0.0000000000001
-189.4400000000000 -0.0000000000001
-186.8800000000000 -0.0000000000001
-184.3200000000000 -0.0000000000001
-181.7600000000000 -0.0000000000001
-179.2000000000000 -0.0000000000001
-176.6400000000000 -0.0000000000001
-174.0800000000000 -0.0000000000001
-171.5200000000000 -0.0000000000001
-168.9600000000000 -0.0000000000001
-166.4000000000000 0.0000000000005
-163.8400000000000 0.0000000000011
-161.2800000000000 -0.0000000000096
-158.7200000000000 -0.0000000000284
-156.1600000000000 0.0000000001064
-153.6000000000000 0.0000000006030
-151.0400000000000 0.0000000003829
-148.4800000000000 -0.0000000037162
-145.9200000000000 -0.0000000117429
-143.3600000000000 -0.0000000156458
-140.8000000000000 -0.0000000114968
-139.5200000000000 -0.0000000095688
-138.2400000000000 -0.0000000086146
-138.2400000000000 -0.0000000086146
-136.9600000000000 -0.0000000089322
-135.6800000000000 -0.0000000096184
-135.6800000000000 -0.0000000096184
-134.4000000000000 -0.0000000096409
-133.1200000000000 -0.0000000097633
-133.1200000000000 -0.0000000097633
-131.8400000000000 -0.0000000107560
-130.5600000000000 -0.0000000120855
-130.5600000000000 -0.0000000120855
-129.2800000000000 -0.0000000132659
-128.0000000000000 -0.0000000146158
-128.0000000000000 -0.0000000146158
-126.7200000000000 -0.0000000162557
-125.4400000000000 -0.0000000187475
-125.4400000000000 -0.0000000187475
-124.1600000000000 -0.0000000217631
-122.8800000000000 -0.0000000249263
-122.8800000000000 -0.0000000249263
-121.6000000000000 -0.0000000278430
-120.3200000000000 -0.0000000314123
-120.3200000000000 -0.0000000314123
-119.0400000000000 -0.0000000371405
-117.7600000000000 -0.0000000435820
-117.7600000000000 -0.0000000435820
-116.4800000000000 -0.0000000496474
-115.2000000000000 -0.0000000556160
-115.2000000000000 -0.0000000556160
-113.9200000000000 -0.0000000637153
-112.6400000000000 -0.0000000750158
-112.6400000000000 -0.0000000750158
-111.3600000000000 -0.0000000868166
-110.0800000000000 -0.0000000981579
-110.0800000000000 -0.0000000981579
