# x phi
-317.4400000000000 -0.0000000000000
-314.8800000000000 -0.0000000000000
-312.3200000000000 -0.0000000000000
-309.7600000000000 -0.0000000000001
-307.2000000000000 -0.0000000000001
-304.6400000000000 -0.0000000000001
-302.0800000000000 -0.0000000000001
-299.5200000000000 -0.0000000000001
-296.9600000000000 -0.0000000000001
-294.4000000000000 -0.0000000000001
-291.8400000000000 -0.0000000000001
-289.2800000000000 -0.0000000000001
-286.7200000000000 -0.0000000000001
-284.1600000000000 -0.0000000000001
-281.6000000000000 -0.0000000000001
-279.0400000000000 -0.0000000000001
-276.4800000000000 -0.0000000000001
-273.9200000000000 -0.0000000000001
-271.3600000000000 -0.0000000000001
-268.8000000000000 -0.0000000000001
-266.2400000000000 -0.0000000000001
-263.6800000000000 -0.0000000000001
-261.1200000000000 -0.0000000000001
-258.5600000000000 -0.0000000000001
-256.0000000000000 -0.0000000000001
-253.4400000000000 -0.0000000000001
-250.8800000000000 -0.0000000000001
-248.3200000000000 -0.0000000000001
-245.7600000000000 -0.0000000000001
-243.2000000000000 -0.0000000000001
-240.6400000000000 -0.0000000000001
-238.0800000000000 -0.0000000000001
-235.5200000000000 -0.0000000000001
-232.9600000000000 -0.0000000000001
-230.4000000000000 -0.0000000000001
-227.8400000000000 -0.0000000000001
-225.2800000000000 -0.0000000000001
-222.7200000000000 -0.0000000000001
-220.1600000000000 -0.0000000000001
-217.6000000000000 -0.0000000000001
-215.0400000000000 -0.0000000000001
-212.4800000000000 -0.0000000000001
-209.9200000000000 -0.0000000000001
-207.3600000000000 -0.0000000000001
-204.8000000000000 -0.0000000000001
-202.2400000000000 -0.0000000000001
-199.6800000000000 -0.0000000000001
-197.1200000000000 -0.0000000000001
-194.5600000000000 -0.0000000000001
-192.0000000000000 -0.0000000000001
-189.4400000000000 -0.0000000000001
-186.8800000000000 -0.0000000000001
-184.3200000000000 -0.0000000000001
-181.7600000000000 -0.0000000000001
-179.2000000000000 -0.0000000000001
-176.6400000000000 -0.0000000000001
-174.0800000000000 -0.0000000000001
-171.5200000000000 -0.0000000000001
-168.9600000000000 -0.0000000000001
-166.4000000000000 0.0000000000002
-163.8400000000000 0.0000000000014
-161.2800000000000 -0.0000000000047
-158.7200000000000 -0.0000000000274
-156.1600000000000 0.0000000000392
-153.6000000000000 0.0000000004661
-151.0400000000000 0.0000000006820
-148.4800000000000 -0.0000000022071
-145.9200000000000 -0.0000000098925
-143.3600000000000 -0.0000000158209
-140.8000000000000 -0.0000000131367
-139.5200000000000 -0.0000000107935
-138.2400000000000 -0.0000000091686
-138.2400000000000 -0.0000000091686
-136.9600000000000 -0.0000000092192
-135.6800000000000 -0.0000000098994
-135.6800000000000 -0.0000000098994
-134.4000000000000 -0.0000000100404
-133.1200000000000 -0.0000000102232
-133.1200000000000 -0.0000000102232
-131.8400000000000 -0.0000000109877
-130.5600000000000 -0.0000000121472
-130.5600000000000 -0.0000000121472
-129.2800000000000 -0.0000000135853
-128.0000000000000 -0.0000000151415
-128.0000000000000 -0.0000000151415
-126.7200000000000 -0.0000000166419
-125.4400000000000 -0.0000000186013
-125.4400000000000 -0.0000000186013
-124.1600000000000 -0.0000000214596
-122.8800000000000 -0.0000000251443
-122.8800000000000 -0.0000000251443
-121.6000000000000 -0.0000000283861
-120.3200000000000 -0.0000000318325
-120.3200000000000 -0.0000000318325
-119.0400000000000 -0.0000000367676
-117.7600000000000 -0.0000000430786
-117.7600000000000 -0.0000000430786
-116.4800000000000 -0.0000000496820
-115.2000000000000 -0.0000000554868
-115.2000000000000 -0.0000000554868
-113.9200000000000 -0.0000000632662
-112.6400000000000 -0.0000000742110
-112.6400000000000 -0.0000000742110
-111.3600000000000 -0.0000000861023
-110.0800000000000 -0.0000000976199
-110.0800000000000 -0.0000000976199
