t re(Psi4_2_0) im(Psi4_2_0)  
4.320000000000000284e+01 4.001869652084895962e-10 1.574200819324655460e-14
4.335999999999999943e+01 4.061910121758419103e-10 1.554495520627961063e-14
4.352000000000000313e+01 4.120496896626074038e-10 1.530125478455219110e-14
4.367999999999999972e+01 4.173197691939291104e-10 1.503789926270832140e-14
4.384000000000000341e+01 4.221489935947560091e-10 1.474589119591728358e-14
4.400000000000000000e+01 4.261472890750032082e-10 1.446012318060368586e-14
4.415999999999999659e+01 4.294446802313581063e-10 1.416896435124478444e-14
4.432000000000000028e+01 4.317651673690010392e-10 1.390164487759755717e-14
4.447999999999999687e+01 4.332007503862064863e-10 1.364842136988016647e-14
4.464000000000000057e+01 4.336640679470723065e-10 1.344204788883452858e-14
4.479999999999999716e+01 4.331842404968846689e-10 1.327160641428423985e-14
4.496000000000000085e+01 4.319057232996129903e-10 1.315963645295047866e-14
4.511999999999999744e+01 4.297803646006019532e-10 1.309862483596242111e-14
4.528000000000000114e+01 4.271596637388218201e-10 1.310476738028140466e-14
4.543999999999999773e+01 4.239264542679441035e-10 1.317266548031233405e-14
4.560000000000000142e+01 4.205370347825821452e-10 1.330441746038420900e-14
4.575999999999999801e+01 4.168393057511869978e-10 1.349932387898917524e-14
4.592000000000000171e+01 4.132511410464599439e-10 1.375611694441848224e-14
4.607999999999999829e+01 4.096332493774947485e-10 1.407521925389739186e-14
4.624000000000000199e+01 4.062432178931712466e-10 1.444836314337646882e-14
4.639999999999999858e+01 4.029951842105204286e-10 1.487830450079860923e-14
4.656000000000000227e+01 3.999420554673633222e-10 1.535504907213233863e-14
4.671999999999999886e+01 3.970661959510851978e-10 1.588192827527413707e-14
4.688000000000000256e+01 3.942685900660450982e-10 1.644256455864429152e-14
4.703999999999999915e+01 3.915822430107757229e-10 1.704241710618536318e-14
4.720000000000000284e+01 3.888729151003557553e-10 1.765441224739674486e-14
4.735999999999999943e+01 3.861853528964282363e-10 1.828757453912562169e-14
4.752000000000000313e+01 3.834720641423887744e-10 1.891445302544115366e-14
4.767999999999999972e+01 3.807488795904366448e-10 1.954419802483486805e-14
4.784000000000000341e+01 3.781213665688354171e-10 2.014571471959678131e-14
4.800000000000000000e+01 3.755543359681654697e-10 2.072936804890710479e-14
4.815999999999999659e+01 3.732956593670717893e-10 2.126645249351815262e-14
4.832000000000000028e+01 3.712627129060040823e-10 2.176653655985233186e-14
4.847999999999999687e+01 3.697718594944736036e-10 2.220631029084520852e-14
4.864000000000000057e+01 3.687176448293080737e-10 2.259354367216751449e-14
4.879999999999999716e+01 3.683894771082246753e-10 2.290928655663905751e-14
4.896000000000000085e+01 3.686908869319761790e-10 2.315985566002498796e-14
4.911999999999999744e+01 3.698047605856381997e-10 2.333301339368163776e-14
4.928000000000000114e+01 3.716701359741861701e-10 2.343283895386104120e-14
4.943999999999999773e+01 3.743163030837244279e-10 2.346128903212833256e-14
4.960000000000000142e+01 3.777334985855638314e-10 2.341771139787583877e-14
4.975999999999999801e+01 3.817816121004803938e-10 2.331635408942804150e-14
4.992000000000000171e+01 3.865073470882145650e-10 2.315246776057332055e-14
5.007999999999999829e+01 3.916032579620090199e-10 2.295188188275807051e-14
5.024000000000000199e+01 3.971718265841231967e-10 2.270598663221004452e-14
5.039999999999999858e+01 4.027571850246070568e-10 2.245155379058209203e-14
5.056000000000000227e+01 4.085112892601038748e-10 2.217632609730174101e-14
5.071999999999999886e+01 4.138676840620356206e-10 2.192112864500607812e-14
5.088000000000000256e+01 4.190151878399262878e-10 2.167235306955710653e-14
5.103999999999999915e+01 4.233455280808171944e-10 2.147058810260249672e-14
5.120000000000000284e+01 4.270614622890292625e-10 2.130230416699262389e-14
5.135999999999999943e+01 4.296099142953110450e-10 2.120432806459281201e-14
5.152000000000000313e+01 4.311752428227404984e-10 2.116438419471189085e-14
5.167999999999999972e+01 4.313724859644288356e-10 2.121092494060852044e-14
5.184000000000000341e+01 4.303299643560069620e-10 2.133446617450259839e-14
5.200000000000000000e+01 4.279324034891993836e-10 2.154712633853628141e-14
5.215999999999999659e+01 4.242182282000860410e-10 2.184486595203000836e-14
5.232000000000000028e+01 4.194030065105738831e-10 2.223068356722967385e-14
5.247999999999999687e+01 4.134148824133686068e-10 2.270357966677232007e-14
5.264000000000000057e+01 4.068013930530073393e-10 2.324978869514796162e-14
5.279999999999999716e+01 3.993800260479789800e-10 2.387389917094056855e-14
5.296000000000000085e+01 3.919623644227370149e-10 2.455488434968467923e-14
5.311999999999999744e+01 3.842778805024648733e-10 2.529975314614697810e-14
5.328000000000000114e+01 3.772774936665088261e-10 2.607710007095561116e-14
5.343999999999999773e+01 3.706442307884170661e-10 2.689739362051607592e-14
5.360000000000000142e+01 3.653056802286764493e-10 2.772329158457493078e-14
5.375999999999999801e+01 3.609526458671273615e-10 2.856724136644456730e-14
5.392000000000000171e+01 3.583219733500633311e-10 2.939030511787777188e-14
5.407999999999999829e+01 3.571680474620555256e-10 3.020546212154502625e-14
5.424000000000000199e+01 3.578936841786495299e-10 3.097715616293880206e-14
5.439999999999999858e+01 3.603646115080005552e-10 3.171723931362001600e-14
5.456000000000000227e+01 3.645597154868657933e-10 3.239527067529498015e-14
5.471999999999999886e+01 3.704860341029992922e-10 3.302139721398442306e-14
5.488000000000000256e+01 3.776789453961548252e-10 3.357530235518976667e-14
5.503999999999999915e+01 3.862933233531021071e-10 3.406375829040086033e-14
5.520000000000000284e+01 3.954778982912065329e-10 3.447345711044029918e-14
5.535999999999999943e+01 4.055164267713521807e-10 3.480883478498689818e-14
5.552000000000000313e+01 4.152982936709524772e-10 3.507252618405162617e-14
5.567999999999999972e+01 4.251937040308721123e-10 3.526365301758007260e-14
5.584000000000000341e+01 4.340094382541875174e-10 3.539686917500373189e-14
5.600000000000000000e+01 4.421432362065467580e-10 3.546729002633732799e-14
5.615999999999999659e+01 4.485184468772558655e-10 3.549223448106018217e-14
5.632000000000000028e+01 4.534939539365468175e-10 3.546592956934673965e-14
5.647999999999999687e+01 4.562929612883108350e-10 3.541911812028798777e-14
5.664000000000000057e+01 4.571744009645655316e-10 3.534155252416593233e-14
5.679999999999999716e+01 4.557965573820680705e-10 3.526520861154888780e-14
5.696000000000000085e+01 4.522733357352283709e-10 3.517942777225626387e-14
5.711999999999999744e+01 4.467569198858238427e-10 3.512222953100753991e-14
5.728000000000000114e+01 4.391965818799239264e-10 3.508094071284504571e-14
5.743999999999999773e+01 4.302135801091027239e-10 3.509532034929494298e-14
5.760000000000000142e+01 4.196008284428367925e-10 3.515211542979146283e-14
5.775999999999999801e+01 4.083481844282376869e-10 3.528415047053358666e-14
5.792000000000000171e+01 3.961256955496122572e-10 3.548048396604247131e-14
5.807999999999999829e+01 3.841403288524579205e-10 3.576583961314010645e-14
5.824000000000000199e+01 3.719897619882828101e-10 3.613197617947309196e-14
5.839999999999999858e+01 3.609245933231678730e-10 3.659309082432853089e-14
5.856000000000000227e+01 3.505279567350789753e-10 3.714445116133671545e-14
5.871999999999999886e+01 3.419224762896749297e-10 3.778149749953622192e-14
5.888000000000000256e+01 3.347339439650770477e-10 3.850574973596589453e-14
5.903999999999999915e+01 3.298060451003344050e-10 3.930476948222785678e-14
5.920000000000000284e+01 3.268575512490828339e-10 4.018270286769829303e-14
5.935999999999999943e+01 3.263324922485692893e-10 4.111452360599399305e-14
5.952000000000000313e+01 3.280828581530369968e-10 4.210857379253268164e-14
5.967999999999999972e+01 3.320772108835897651e-10 4.313055531107582734e-14
5.984000000000000341e+01 3.383260297998594685e-10 4.419190086711600571e-14
6.000000000000000000e+01 3.463037059597722319e-10 4.525697633257868010e-14
6.015999999999999659e+01 3.561854423440096104e-10 4.633765975019467955e-14
6.032000000000000028e+01 3.670055371676223705e-10 4.739002096705214187e-14
