t trk
1.119999999999999929e+01 2.068911262719219906e-04
1.151999999999999957e+01 1.583398528999130112e-04
1.151999999999999957e+01 1.583398528999130112e-04
1.151999999999999957e+01 1.583398528999130112e-04
1.151999999999999957e+01 1.583398528999130112e-04
1.183999999999999986e+01 1.337787079963330069e-04
1.183999999999999986e+01 1.337787079963330069e-04
1.183999999999999986e+01 1.337787079963330069e-04
1.183999999999999986e+01 1.337787079963330069e-04
1.216000000000000014e+01 1.188563252004579948e-04
1.216000000000000014e+01 1.188563252004579948e-04
1.216000000000000014e+01 1.188563252004579948e-04
1.216000000000000014e+01 1.188563252004579948e-04
1.248000000000000043e+01 1.128453257313869937e-04
1.248000000000000043e+01 1.128453257313869937e-04
1.248000000000000043e+01 1.128453257313869937e-04
1.248000000000000043e+01 1.128453257313869937e-04
1.280000000000000071e+01 1.916105546961949994e-04
1.280000000000000071e+01 1.916105546961949994e-04
1.280000000000000071e+01 1.916105546961949994e-04
1.280000000000000071e+01 1.916105546961949994e-04
1.311999999999999922e+01 3.697968910604089790e-04
1.311999999999999922e+01 3.697968910604089790e-04
1.311999999999999922e+01 3.697968910604089790e-04
1.311999999999999922e+01 3.697968910604089790e-04
1.343999999999999950e+01 4.154066429287340146e-04
1.343999999999999950e+01 4.154066429287340146e-04
1.343999999999999950e+01 4.154066429287340146e-04
1.343999999999999950e+01 4.154066429287340146e-04
1.375999999999999979e+01 1.827026820673839907e-04
1.375999999999999979e+01 1.827026820673839907e-04
1.375999999999999979e+01 1.827026820673839907e-04
1.375999999999999979e+01 1.827026820673839907e-04
1.408000000000000007e+01 9.392007656103880820e-06
1.408000000000000007e+01 9.392007656103880820e-06
1.408000000000000007e+01 9.392007656103880820e-06
1.408000000000000007e+01 9.392007656103880820e-06
1.440000000000000036e+01 -2.606502903012639845e-05
1.440000000000000036e+01 -2.606502903012639845e-05
1.440000000000000036e+01 -2.606502903012639845e-05
1.440000000000000036e+01 -2.606502903012639845e-05
1.472000000000000064e+01 -1.183700185384560012e-04
1.472000000000000064e+01 -1.183700185384560012e-04
1.472000000000000064e+01 -1.183700185384560012e-04
1.472000000000000064e+01 -1.183700185384560012e-04
1.503999999999999915e+01 -1.714366625733699926e-04
1.503999999999999915e+01 -1.714366625733699926e-04
1.503999999999999915e+01 -1.714366625733699926e-04
1.503999999999999915e+01 -1.714366625733699926e-04
1.535999999999999943e+01 -1.885605424395259925e-04
1.535999999999999943e+01 -1.885605424395259925e-04
1.535999999999999943e+01 -1.885605424395259925e-04
1.535999999999999943e+01 -1.885605424395259925e-04
1.567999999999999972e+01 -1.921120138948079995e-04
1.567999999999999972e+01 -1.921120138948079995e-04
1.567999999999999972e+01 -1.921120138948079995e-04
1.567999999999999972e+01 -1.921120138948079995e-04
1.600000000000000000e+01 -1.804336981492489955e-04
1.600000000000000000e+01 -1.804336981492489955e-04
1.600000000000000000e+01 -1.804336981492489955e-04
1.600000000000000000e+01 -1.804336981492489955e-04
1.632000000000000028e+01 -1.703086372021659874e-04
1.632000000000000028e+01 -1.703086372021659874e-04
1.632000000000000028e+01 -1.703086372021659874e-04
1.632000000000000028e+01 -1.703086372021659874e-04
1.664000000000000057e+01 -1.318957797965300115e-04
1.664000000000000057e+01 -1.318957797965300115e-04
1.664000000000000057e+01 -1.318957797965300115e-04
1.664000000000000057e+01 -1.318957797965300115e-04
1.696000000000000085e+01 -1.020855953782599947e-04
1.696000000000000085e+01 -1.020855953782599947e-04
1.696000000000000085e+01 -1.020855953782599947e-04
1.696000000000000085e+01 -1.020855953782599947e-04
1.728000000000000114e+01 -4.353096184223889708e-05
1.728000000000000114e+01 -4.353096184223889708e-05
1.728000000000000114e+01 -4.353096184223889708e-05
1.728000000000000114e+01 -4.353096184223889708e-05
1.760000000000000142e+01 8.935731648457279335e-05
1.760000000000000142e+01 8.935731648457279335e-05
1.760000000000000142e+01 8.935731648457279335e-05
1.760000000000000142e+01 8.935731648457279335e-05
1.792000000000000171e+01 2.855508980649840069e-04
1.792000000000000171e+01 2.855508980649840069e-04
1.792000000000000171e+01 2.855508980649840069e-04
1.792000000000000171e+01 2.855508980649840069e-04
1.823999999999999844e+01 4.475932602973329861e-04
