t re(Psi4_2_0) im(Psi4_2_0)  
0.000000000000000000e+00 4.095607714538678028e-11 6.434514460904475021e-17
1.600000000000000033e-01 4.106355871240212655e-11 6.118607119376420805e-17
3.200000000000000067e-01 4.124269465742830252e-11 5.592094883467484431e-17
4.799999999999999822e-01 4.142514894467461651e-11 4.995907112563990856e-17
6.400000000000000133e-01 4.163370025273856029e-11 4.283067353489457294e-17
8.000000000000000444e-01 4.242392456325814723e-11 3.527854658660808846e-17
9.599999999999999645e-01 4.361062988235318436e-11 2.705509343890351127e-17
1.120000000000000107e+00 4.548304775539580664e-11 2.045772801783294684e-17
1.280000000000000027e+00 4.794476766726045043e-11 1.472064568462356433e-17
1.439999999999999947e+00 5.027836970761903681e-11 1.197685828288436379e-17
1.600000000000000089e+00 5.272299384658036537e-11 1.151536186583593567e-17
1.760000000000000009e+00 5.403164152654093716e-11 1.342980284891359006e-17
1.919999999999999929e+00 5.461997893336960838e-11 1.768896576131227904e-17
2.080000000000000071e+00 5.395180592091531082e-11 2.392897361513600804e-17
2.240000000000000213e+00 5.220585587122947116e-11 3.227111874236125698e-17
2.399999999999999911e+00 5.016195917151976882e-11 4.032943292242321655e-17
2.560000000000000053e+00 4.756017235938546208e-11 4.889923889109343525e-17
2.720000000000000195e+00 4.575829997910943066e-11 5.856213011807626405e-17
2.879999999999999893e+00 4.430374051593276753e-11 6.912424211909702284e-17
3.040000000000000036e+00 4.383991259867249975e-11 7.725267860559259825e-17
3.200000000000000178e+00 4.415234335105531563e-11 8.405840500732122866e-17
3.359999999999999876e+00 4.468384902819496808e-11 8.943784720622578091e-17
3.520000000000000018e+00 4.562015754505436664e-11 9.342552990521943485e-17
3.680000000000000160e+00 4.593627489831756968e-11 9.522821051293320988e-17
3.839999999999999858e+00 4.597386575575759171e-11 9.511030324185253702e-17
4.000000000000000000e+00 4.530627566848662417e-11 9.317792513851369152e-17
4.160000000000000142e+00 4.407572278613417569e-11 8.939570386048598990e-17
4.320000000000000284e+00 4.274907846527510872e-11 8.170728959752454201e-17
4.480000000000000426e+00 4.117071892038458328e-11 7.079813228010804516e-17
4.639999999999999680e+00 4.007817509727470684e-11 5.843542868889191664e-17
4.799999999999999822e+00 3.922560334734169345e-11 4.403011324105809956e-17
4.959999999999999964e+00 3.887375380606131397e-11 3.176861285093796849e-17
5.120000000000000107e+00 3.893570976160808096e-11 2.025545189090222251e-17
5.280000000000000249e+00 3.907527385113370229e-11 1.015676975369288466e-17
5.440000000000000391e+00 3.940451186225460923e-11 1.250519970416766832e-18
5.599999999999999645e+00 3.945275955310189675e-11 -3.527049090811562512e-18
5.759999999999999787e+00 3.937690500430247093e-11 -5.154686899363303513e-18
5.919999999999999929e+00 3.901339412525412861e-11 -3.936286508535422653e-18
6.080000000000000071e+00 3.841674494615837752e-11 2.294497813108997547e-19
6.240000000000000213e+00 3.773720564919212043e-11 5.387724874294782450e-18
6.400000000000000355e+00 3.692469350696091737e-11 1.219013780601625715e-17
6.559999999999999609e+00 3.616411123073254115e-11 2.038085017531677312e-17
6.719999999999999751e+00 3.539382458341693932e-11 3.004514142827077709e-17
6.879999999999999893e+00 3.466612748278523933e-11 4.181482376876051969e-17
7.040000000000000036e+00 3.396358862291488234e-11 5.547929312043474022e-17
7.200000000000000178e+00 3.330493141622293187e-11 6.632441689342085560e-17
7.360000000000000320e+00 3.268391472523714974e-11 7.592157261099879073e-17
7.519999999999999574e+00 3.225185148641249639e-11 8.424762692410001830e-17
7.679999999999999716e+00 3.195830405426279811e-11 9.131029097372277508e-17
7.839999999999999858e+00 3.206531540117247914e-11 9.659993207869962034e-17
8.000000000000000000e+00 3.248553786967969639e-11 1.002864278057733839e-16
8.160000000000000142e+00 3.336819696407799181e-11 1.016459397357951014e-16
8.320000000000000284e+00 3.466355084960298495e-11 1.009197473267300348e-16
8.480000000000000426e+00 3.620235300076011076e-11 1.006932047144329983e-16
8.640000000000000568e+00 3.804101892604843001e-11 1.001045271577395202e-16
8.800000000000000711e+00 3.972011071909487846e-11 9.929586003876891406e-17
8.960000000000000853e+00 4.139277434869129609e-11 9.821982154283526710e-17
9.119999999999999218e+00 4.258328566706931613e-11 9.587694731867187699e-17
9.279999999999999361e+00 4.345021939014988790e-11 9.260039213120723767e-17
9.439999999999999503e+00 4.382563413289121710e-11 8.947176543685523688e-17
9.599999999999999645e+00 4.376551035697316082e-11 8.613053071102073042e-17
9.759999999999999787e+00 4.353839403656985130e-11 8.260563444839883314e-17
