# time mean_radius area m_irreducible areal_radius
1.545600000000000023e+02 1.854552082000000102e+00 1.942232014999999876e+02 1.965692707999999955e+00 3.931385416999999993e+00
1.548799999999999955e+02 1.857174694000000015e+00 1.942869320000000073e+02 1.966015183000000111e+00 3.932030366999999860e+00
1.551999999999999886e+02 1.859516431000000081e+00 1.943372411999999940e+02 1.966269709999999948e+00 3.932539418999999814e+00
1.555200000000000102e+02 1.861592794999999967e+00 1.943752192999999977e+02 1.966461827999999912e+00 3.932923655999999824e+00
1.558400000000000034e+02 1.863422643000000045e+00 1.944021684999999877e+02 1.966598143999999992e+00 3.933196287999999985e+00
1.561599999999999966e+02 1.865029542999999901e+00 1.944196971000000076e+02 1.966686801999999901e+00 3.933373604999999884e+00
1.564799999999999898e+02 1.866432445000000051e+00 1.944290301000000056e+02 1.966734006000000035e+00 3.933468013000000152e+00
1.568000000000000114e+02 1.867649005000000084e+00 1.944312649000000022e+02 1.966745308999999997e+00 3.933490619000000077e+00
1.571200000000000045e+02 1.868693906000000071e+00 1.944272598999999957e+02 1.966725053000000001e+00 3.933450107000000084e+00
1.574399999999999977e+02 1.869585563000000006e+00 1.944181250999999975e+02 1.966678852000000033e+00 3.933357702999999983e+00
1.577599999999999909e+02 1.870339849000000054e+00 1.944047552000000110e+02 1.966611227000000017e+00 3.933222455000000117e+00
1.580800000000000125e+02 1.870970357999999889e+00 1.943878598000000011e+02 1.966525767999999896e+00 3.933051535000000154e+00
1.584000000000000057e+02 1.871490228999999950e+00 1.943681008000000077e+02 1.966425818999999908e+00 3.932851638999999899e+00
1.587199999999999989e+02 1.871912894000000049e+00 1.943461552999999924e+02 1.966314805000000110e+00 3.932629610000000220e+00
1.590399999999999920e+02 1.872246705000000011e+00 1.943223225000000127e+02 1.966194235999999984e+00 3.932388471999999968e+00
1.593600000000000136e+02 1.872504420999999919e+00 1.942972176000000104e+02 1.966067223000000030e+00 3.932134446000000061e+00
1.596800000000000068e+02 1.872697354999999897e+00 1.942713439999999991e+02 1.965936313000000046e+00 3.931872627000000175e+00
1.600000000000000000e+02 1.872840499000000047e+00 1.942454658999999992e+02 1.965805371999999940e+00 3.931610743999999880e+00
1.603199999999999932e+02 1.872934026000000030e+00 1.942192588000000057e+02 1.965672756000000021e+00 3.931345512000000042e+00
1.606399999999999864e+02 1.872981339999999939e+00 1.941926760999999999e+02 1.965538232000000107e+00 3.931076463000000132e+00
1.609600000000000080e+02 1.872994016999999900e+00 1.941662559000000101e+02 1.965404520000000099e+00 3.930809040000000198e+00
1.612800000000000011e+02 1.872981892000000093e+00 1.941404087999999888e+02 1.965273698999999930e+00 3.930547398999999942e+00
1.615999999999999943e+02 1.872950845000000086e+00 1.941152582999999936e+02 1.965146397000000045e+00 3.930292794000000089e+00
1.619199999999999875e+02 1.872900176999999999e+00 1.940904772000000094e+02 1.965020956000000041e+00 3.930041912000000082e+00
1.622400000000000091e+02 1.872837690999999971e+00 1.940663621999999862e+02 1.964898878999999932e+00 3.929797756999999780e+00
1.625600000000000023e+02 1.872767475000000070e+00 1.940429493999999977e+02 1.964780350000000064e+00 3.929560699000000046e+00
1.628799999999999955e+02 1.872694295000000064e+00 1.940203324999999950e+02 1.964665842000000051e+00 3.929331685000000185e+00
1.631999999999999886e+02 1.872618710000000020e+00 1.939983225000000004e+02 1.964554402000000088e+00 3.929108804000000177e+00
1.635200000000000102e+02 1.872541398000000079e+00 1.939767602000000011e+02 1.964445221999999935e+00 3.928890442999999788e+00
1.638400000000000034e+02 1.872469917999999955e+00 1.939559869999999933e+02 1.964340031999999958e+00 3.928680062999999834e+00
1.641599999999999966e+02 1.872404619999999964e+00 1.939358349000000032e+02 1.964237980999999911e+00 3.928475961999999821e+00
1.644799999999999898e+02 1.872347283000000084e+00 1.939162585999999919e+02 1.964138841000000024e+00 3.928277683000000131e+00
1.648000000000000114e+02 1.872294815999999917e+00 1.938968833000000132e+02 1.964040714000000021e+00 3.928081429000000124e+00
1.651200000000000045e+02 1.872249320000000106e+00 1.938777315000000101e+02 1.963943715000000090e+00 3.927887430000000180e+00
1.654399999999999977e+02 1.872216555999999921e+00 1.938590906000000018e+02 1.963849297999999965e+00 3.927698597000000014e+00
1.657599999999999909e+02 1.872198114999999996e+00 1.938409522000000038e+02 1.963757422000000030e+00 3.927514845000000143e+00
1.660800000000000125e+02 1.872195529999999941e+00 1.938233189000000039e+02 1.963668101000000110e+00 3.927336202999999859e+00
1.664000000000000057e+02 1.872211778999999909e+00 1.938063156000000049e+02 1.963581967000000095e+00 3.927163934000000189e+00
1.667199999999999989e+02 1.872250028999999927e+00 1.937900796000000128e+02 1.963499716999999922e+00 3.926999433000000206e+00
1.670399999999999920e+02 1.872307930999999925e+00 1.937743676999999991e+02 1.963420117999999936e+00 3.926840234999999790e+00
1.673600000000000136e+02 1.872387873000000091e+00 1.937592883000000086e+02 1.963343719999999903e+00 3.926687439999999807e+00
1.676800000000000068e+02 1.872490484999999927e+00 1.937448371000000122e+02 1.963270502000000084e+00 3.926541004999999807e+00
1.680000000000000000e+02 1.872618208000000006e+00 1.937311425000000042e+02 1.963201116000000024e+00 3.926402230999999965e+00
1.683199999999999932e+02 1.872770578999999991e+00 1.937181373999999892e+02 1.963135220000000070e+00 3.926270440000000139e+00
1.686399999999999864e+02 1.872949659000000100e+00 1.937059418000000051e+02 1.963073424000000067e+00 3.926146848000000134e+00
