# time mean_radius area m_irreducible areal_radius
1.600000000000000000e+02 9.387976133000000001e-01 1.237373543000000069e+02 1.568973055000000061e+00 3.137946110000000122e+00
1.603199999999999932e+02 1.093738652999999950e+00 1.357206669999999917e+02 1.643191065999999978e+00 3.286382131999999956e+00
1.606399999999999864e+02 1.177871928999999929e+00 1.420767111000000114e+02 1.681227634999999943e+00 3.362455268999999802e+00
1.609600000000000080e+02 1.241146598999999906e+00 1.467526573000000099e+02 1.708669468999999941e+00 3.417338937999999882e+00
1.612800000000000011e+02 1.292792568000000086e+00 1.504841292000000124e+02 1.730256231999999894e+00 3.460512463999999788e+00
1.615999999999999943e+02 1.336300419999999933e+00 1.535555511000000024e+02 1.747824540999999954e+00 3.495649080999999825e+00
1.619199999999999875e+02 1.373863900999999998e+00 1.561443940000000055e+02 1.762496529999999950e+00 3.524993058999999818e+00
1.622400000000000091e+02 1.407042936000000077e+00 1.583749110999999914e+02 1.775040490999999943e+00 3.550080982999999968e+00
1.625600000000000023e+02 1.436747827000000033e+00 1.603210398999999882e+02 1.785913140999999982e+00 3.571826283000000046e+00
1.628799999999999955e+02 1.463617514000000064e+00 1.620351662999999860e+02 1.795435102999999977e+00 3.590870204999999871e+00
1.631999999999999886e+02 1.488120021999999931e+00 1.635560389999999984e+02 1.803841459000000036e+00 3.607682919000000155e+00
1.635200000000000102e+02 1.510598276000000073e+00 1.649125003999999990e+02 1.811306145000000090e+00 3.622612290000000179e+00
1.638400000000000034e+02 1.531335560999999901e+00 1.661283755999999983e+02 1.817971127999999936e+00 3.635942254999999790e+00
1.641599999999999966e+02 1.550557622999999996e+00 1.672228497000000118e+02 1.823949805000000035e+00 3.647899610000000070e+00
1.644799999999999898e+02 1.568421277999999974e+00 1.682098422999999912e+02 1.829324597999999913e+00 3.658649195999999826e+00
1.648000000000000114e+02 1.585049362999999989e+00 1.691005665000000135e+02 1.834161629000000016e+00 3.668323256999999948e+00
1.651200000000000045e+02 1.600570373000000046e+00 1.699063596000000018e+02 1.838526482000000017e+00 3.677052962999999952e+00
1.654399999999999977e+02 1.615095082000000071e+00 1.706370262000000082e+02 1.842475448000000071e+00 3.684950895000000060e+00
1.657599999999999909e+02 1.628690667000000092e+00 1.712990955999999869e+02 1.846046376999999961e+00 3.692092755000000004e+00
1.660800000000000125e+02 1.641419809999999924e+00 1.718986629000000050e+02 1.849274246000000010e+00 3.698548493000000104e+00
1.664000000000000057e+02 1.653366129999999989e+00 1.724431050000000027e+02 1.852200467000000073e+00 3.704400934000000145e+00
1.667199999999999989e+02 1.664580481000000001e+00 1.729373194000000069e+02 1.854852731000000032e+00 3.709705462000000065e+00
1.670399999999999920e+02 1.675100561000000043e+00 1.733851759000000072e+02 1.857252938000000020e+00 3.714505876000000040e+00
1.673600000000000136e+02 1.684970738000000079e+00 1.737909059000000127e+02 1.859424699999999930e+00 3.718849400999999943e+00
1.676800000000000068e+02 1.694241026000000039e+00 1.741590127000000052e+02 1.861392884000000025e+00 3.722785768000000051e+00
1.680000000000000000e+02 1.702952827999999919e+00 1.744932575999999926e+02 1.863178215000000026e+00 3.726356428999999970e+00
1.683199999999999932e+02 1.711131960999999979e+00 1.747961955000000103e+02 1.864794845999999895e+00 3.729589692999999873e+00
1.686399999999999864e+02 1.718804009000000077e+00 1.750703000000000031e+02 1.866256401000000009e+00 3.732512802000000018e+00
1.689600000000000080e+02 1.725999974999999909e+00 1.753183329999999955e+02 1.867577953999999929e+00 3.735155907999999858e+00
1.692800000000000011e+02 1.732750146000000102e+00 1.755429110000000037e+02 1.868773728999999939e+00 3.737547457999999878e+00
1.695999999999999943e+02 1.739074210999999925e+00 1.757458291000000088e+02 1.869853517999999992e+00 3.739707034999999902e+00
1.699199999999999875e+02 1.744993084999999944e+00 1.759289042000000052e+02 1.870827180999999895e+00 3.741654361999999789e+00
1.702400000000000091e+02 1.750530761000000046e+00 1.760940811000000110e+02 1.871705219999999947e+00 3.743410440999999977e+00
1.705600000000000023e+02 1.755708030999999947e+00 1.762430208000000107e+02 1.872496592999999931e+00 3.744993186999999946e+00
1.708799999999999955e+02 1.760543937000000003e+00 1.763771949000000063e+02 1.873209225000000089e+00 3.746418450999999816e+00
1.711999999999999886e+02 1.765054246999999910e+00 1.764977940999999930e+02 1.873849526000000099e+00 3.747699052000000197e+00
1.715200000000000102e+02 1.769255113999999907e+00 1.766059884000000011e+02 1.874423779000000012e+00 3.748847559000000107e+00
1.718400000000000034e+02 1.773164607000000004e+00 1.767030287000000044e+02 1.874938680999999940e+00 3.749877362999999963e+00
1.721599999999999966e+02 1.776796376000000066e+00 1.767898093000000017e+02 1.875399025999999969e+00 3.750798050999999855e+00
1.724799999999999898e+02 1.780160060999999905e+00 1.768669121000000075e+02 1.875807937000000036e+00 3.751615874000000073e+00
1.728000000000000114e+02 1.783267911999999900e+00 1.769350737999999978e+02 1.876169355999999899e+00 3.752338711000000160e+00
1.731200000000000045e+02 1.786134249000000063e+00 1.769951502000000119e+02 1.876487844999999988e+00 3.752975689999999975e+00
1.734399999999999977e+02 1.788770825999999925e+00 1.770477792000000079e+02 1.876766809000000036e+00 3.753533616999999989e+00
1.737599999999999909e+02 1.791185856000000021e+00 1.770933400000000120e+02 1.877008272999999949e+00 3.754016545999999899e+00
1.740800000000000125e+02 1.793386230999999942e+00 1.771321048000000076e+02 1.877213695000000016e+00 3.754427390000000031e+00
1.744000000000000057e+02 1.795383350000000044e+00 1.771646438999999873e+02 1.877386108999999914e+00 3.754772217999999828e+00
1.747199999999999989e+02 1.797186979999999989e+00 1.771914026999999976e+02 1.877527882999999953e+00 3.755055765999999906e+00
1.750399999999999920e+02 1.798812220000000073e+00 1.772131848999999875e+02 1.877643281999999969e+00 3.755286563999999938e+00
1.753600000000000136e+02 1.800265962000000108e+00 1.772301972999999862e+02 1.877733407000000021e+00 3.755466812999999959e+00
1.756800000000000068e+02 1.801555126000000007e+00 1.772426486999999895e+02 1.877799366000000081e+00 3.755598732000000162e+00
1.760000000000000000e+02 1.802690536999999926e+00 1.772510215000000073e+02 1.877843718000000051e+00 3.755687437000000184e+00
1.763199999999999932e+02 1.803684837999999901e+00 1.772559043999999915e+02 1.877869583999999925e+00 3.755739167000000212e+00
1.766399999999999864e+02 1.804547514000000019e+00 1.772576610000000130e+02 1.877878887999999913e+00 3.755757775999999826e+00
1.769600000000000080e+02 1.805290668999999903e+00 1.772568301000000019e+02 1.877874486999999926e+00 3.755748973000000213e+00
1.772800000000000011e+02 1.805921915999999960e+00 1.772536254999999983e+02 1.877857512000000062e+00 3.755715024000000124e+00
1.775999999999999943e+02 1.806447552000000067e+00 1.772481755000000021e+02 1.877828642999999964e+00 3.755657284999999845e+00
1.779199999999999875e+02 1.806881079000000057e+00 1.772411118999999928e+02 1.877791224999999953e+00 3.755582449999999906e+00
1.782400000000000091e+02 1.807228945000000087e+00 1.772325610000000040e+02 1.877745927999999953e+00 3.755491855999999906e+00
1.785600000000000023e+02 1.807499540000000016e+00 1.772227958999999942e+02 1.877694197999999925e+00 3.755388395000000212e+00
1.788799999999999955e+02 1.807704404999999959e+00 1.772123056000000076e+02 1.877638624000000034e+00 3.755277246999999985e+00
1.791999999999999886e+02 1.807851333999999976e+00 1.772013095000000078e+02 1.877580368999999916e+00 3.755160737000000193e+00
1.795200000000000102e+02 1.807945248000000005e+00 1.771898391000000004e+02 1.877519598999999983e+00 3.755039197999999967e+00
1.798400000000000034e+02 1.807990505000000026e+00 1.771778969000000075e+02 1.877456328000000063e+00 3.754912655000000044e+00
1.801599999999999966e+02 1.807994692000000070e+00 1.771657160999999974e+02 1.877391789999999894e+00 3.754783579999999787e+00
1.804799999999999898e+02 1.807964563000000080e+00 1.771534792999999866e+02 1.877326953000000076e+00 3.754653906999999791e+00
1.808000000000000114e+02 1.807907997000000044e+00 1.771414495999999872e+02 1.877263211999999903e+00 3.754526423000000168e+00
1.811200000000000045e+02 1.807830368000000076e+00 1.771297179000000028e+02 1.877201047000000012e+00 3.754402094000000023e+00
1.814399999999999977e+02 1.807736331000000085e+00 1.771183417000000020e+02 1.877140763999999962e+00 3.754281529000000006e+00
1.817599999999999909e+02 1.807632267000000015e+00 1.771075036999999952e+02 1.877083331999999993e+00 3.754166662999999904e+00
1.820800000000000125e+02 1.807518962999999923e+00 1.770970079999999882e+02 1.877027710999999988e+00 3.754055423000000058e+00
1.824000000000000057e+02 1.807398907999999915e+00 1.770867963000000032e+02 1.876973594000000078e+00 3.753947188000000157e+00
1.827199999999999989e+02 1.807279413999999917e+00 1.770771541000000013e+02 1.876922493999999997e+00 3.753844987999999994e+00
1.830399999999999920e+02 1.807162855000000068e+00 1.770680316000000118e+02 1.876874146000000021e+00 3.753748293000000125e+00
1.833600000000000136e+02 1.807050457000000110e+00 1.770593143000000111e+02 1.876827945000000053e+00 3.753655891000000189e+00
1.836800000000000068e+02 1.806942971000000009e+00 1.770508704000000080e+02 1.876783191999999989e+00 3.753566385000000061e+00
1.840000000000000000e+02 1.806847142000000073e+00 1.770429953000000012e+02 1.876741452999999948e+00 3.753482904999999814e+00
1.843199999999999932e+02 1.806766273000000034e+00 1.770357486999999992e+02 1.876703044000000098e+00 3.753406087000000113e+00
1.846399999999999864e+02 1.806699274999999938e+00 1.770289027999999973e+02 1.876666758000000046e+00 3.753333516000000092e+00
