t trk
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000067e-01 -1.073742574757950035e-05
3.200000000000000067e-01 -1.073742574757950035e-05
3.200000000000000067e-01 -1.073742574757950035e-05
3.200000000000000067e-01 -1.073742574757950035e-05
6.400000000000000133e-01 1.016039084989929944e-05
6.400000000000000133e-01 1.016039084989929944e-05
6.400000000000000133e-01 1.016039084989929944e-05
6.400000000000000133e-01 1.016039084989929944e-05
9.599999999999999645e-01 -2.390644712787229898e-05
9.599999999999999645e-01 -2.390644712787229898e-05
9.599999999999999645e-01 -2.390644712787229898e-05
9.599999999999999645e-01 -2.390644712787229898e-05
1.280000000000000027e+00 -5.330306020786920214e-05
1.280000000000000027e+00 -5.330306020786920214e-05
1.280000000000000027e+00 -5.330306020786920214e-05
1.280000000000000027e+00 -5.330306020786920214e-05
1.600000000000000089e+00 -2.882102162666600099e-05
1.600000000000000089e+00 -2.882102162666600099e-05
1.600000000000000089e+00 -2.882102162666600099e-05
1.600000000000000089e+00 -2.882102162666600099e-05
1.919999999999999929e+00 -5.769051993192419992e-05
1.919999999999999929e+00 -5.769051993192419992e-05
1.919999999999999929e+00 -5.769051993192419992e-05
1.919999999999999929e+00 -5.769051993192419992e-05
2.240000000000000213e+00 -1.139726273021630027e-06
2.240000000000000213e+00 -1.139726273021630027e-06
2.240000000000000213e+00 -1.139726273021630027e-06
2.240000000000000213e+00 -1.139726273021630027e-06
2.560000000000000053e+00 3.198919763472529818e-06
2.560000000000000053e+00 3.198919763472529818e-06
2.560000000000000053e+00 3.198919763472529818e-06
2.560000000000000053e+00 3.198919763472529818e-06
2.879999999999999893e+00 1.411683129017820037e-05
2.879999999999999893e+00 1.411683129017820037e-05
2.879999999999999893e+00 1.411683129017820037e-05
2.879999999999999893e+00 1.411683129017820037e-05
3.200000000000000178e+00 -4.959534622277689725e-06
3.200000000000000178e+00 -4.959534622277689725e-06
3.200000000000000178e+00 -4.959534622277689725e-06
3.200000000000000178e+00 -4.959534622277689725e-06
3.520000000000000018e+00 -3.133253769437270044e-05
3.520000000000000018e+00 -3.133253769437270044e-05
3.520000000000000018e+00 -3.133253769437270044e-05
3.520000000000000018e+00 -3.133253769437270044e-05
3.839999999999999858e+00 -5.832830572285709953e-05
3.839999999999999858e+00 -5.832830572285709953e-05
3.839999999999999858e+00 -5.832830572285709953e-05
3.839999999999999858e+00 -5.832830572285709953e-05
4.160000000000000142e+00 2.933192607378110026e-05
4.160000000000000142e+00 2.933192607378110026e-05
4.160000000000000142e+00 2.933192607378110026e-05
4.160000000000000142e+00 2.933192607378110026e-05
4.480000000000000426e+00 5.331118387671249952e-05
4.480000000000000426e+00 5.331118387671249952e-05
4.480000000000000426e+00 5.331118387671249952e-05
4.480000000000000426e+00 5.331118387671249952e-05
4.799999999999999822e+00 -4.816463554398430004e-06
4.799999999999999822e+00 -4.816463554398430004e-06
4.799999999999999822e+00 -4.816463554398430004e-06
4.799999999999999822e+00 -4.816463554398430004e-06
5.120000000000000107e+00 -7.798700972929079210e-06
5.120000000000000107e+00 -7.798700972929079210e-06
5.120000000000000107e+00 -7.798700972929079210e-06
5.120000000000000107e+00 -7.798700972929079210e-06
5.440000000000000391e+00 4.492800668695140337e-06
5.440000000000000391e+00 4.492800668695140337e-06
5.440000000000000391e+00 4.492800668695140337e-06
5.440000000000000391e+00 4.492800668695140337e-06
5.759999999999999787e+00 2.124763677404449915e-05
5.759999999999999787e+00 2.124763677404449915e-05
5.759999999999999787e+00 2.124763677404449915e-05
5.759999999999999787e+00 2.124763677404449915e-05
6.080000000000000071e+00 -1.525947674656309935e-05
6.080000000000000071e+00 -1.525947674656309935e-05
6.080000000000000071e+00 -1.525947674656309935e-05
6.080000000000000071e+00 -1.525947674656309935e-05
6.400000000000000355e+00 2.058536981032330046e-06
6.400000000000000355e+00 2.058536981032330046e-06
6.400000000000000355e+00 2.058536981032330046e-06
6.400000000000000355e+00 2.058536981032330046e-06
6.719999999999999751e+00 2.216369230198679931e-05
6.719999999999999751e+00 2.216369230198679931e-05
6.719999999999999751e+00 2.216369230198679931e-05
6.719999999999999751e+00 2.216369230198679931e-05
7.040000000000000036e+00 9.716306517915800450e-06
7.040000000000000036e+00 9.716306517915800450e-06
7.040000000000000036e+00 9.716306517915800450e-06
7.040000000000000036e+00 9.716306517915800450e-06
7.360000000000000320e+00 1.990777548782419940e-06
7.360000000000000320e+00 1.990777548782419940e-06
7.360000000000000320e+00 1.990777548782419940e-06
7.360000000000000320e+00 1.990777548782419940e-06
7.679999999999999716e+00 1.073373806054219916e-05
7.679999999999999716e+00 1.073373806054219916e-05
7.679999999999999716e+00 1.073373806054219916e-05
7.679999999999999716e+00 1.073373806054219916e-05
8.000000000000000000e+00 6.812711675088809827e-06
8.000000000000000000e+00 6.812711675088809827e-06
8.000000000000000000e+00 6.812711675088809827e-06
8.000000000000000000e+00 6.812711675088809827e-06
8.320000000000000284e+00 8.658586162538680111e-07
8.320000000000000284e+00 8.658586162538680111e-07
8.320000000000000284e+00 8.658586162538680111e-07
8.320000000000000284e+00 8.658586162538680111e-07
8.640000000000000568e+00 2.175801927552339905e-06
8.640000000000000568e+00 2.175801927552339905e-06
8.640000000000000568e+00 2.175801927552339905e-06
8.640000000000000568e+00 2.175801927552339905e-06
8.960000000000000853e+00 8.681357734954200193e-06
8.960000000000000853e+00 8.681357734954200193e-06
8.960000000000000853e+00 8.681357734954200193e-06
8.960000000000000853e+00 8.681357734954200193e-06
9.279999999999999361e+00 6.903302292299010139e-06
9.279999999999999361e+00 6.903302292299010139e-06
9.279999999999999361e+00 6.903302292299010139e-06
9.279999999999999361e+00 6.903302292299010139e-06
9.599999999999999645e+00 -2.855305204972490209e-06
9.599999999999999645e+00 -2.855305204972490209e-06
9.599999999999999645e+00 -2.855305204972490209e-06
9.599999999999999645e+00 -2.855305204972490209e-06
9.919999999999999929e+00 -2.536480077816609880e-06
9.919999999999999929e+00 -2.536480077816609880e-06
9.919999999999999929e+00 -2.536480077816609880e-06
9.919999999999999929e+00 -2.536480077816609880e-06
1.024000000000000021e+01 8.692837324599910547e-06
1.024000000000000021e+01 8.692837324599910547e-06
1.024000000000000021e+01 8.692837324599910547e-06
1.024000000000000021e+01 8.692837324599910547e-06
1.056000000000000050e+01 4.454881485609500317e-06
1.056000000000000050e+01 4.454881485609500317e-06
1.056000000000000050e+01 4.454881485609500317e-06
1.056000000000000050e+01 4.454881485609500317e-06
1.088000000000000078e+01 -4.280211157967400391e-06
1.088000000000000078e+01 -4.280211157967400391e-06
1.088000000000000078e+01 -4.280211157967400391e-06
1.088000000000000078e+01 -4.280211157967400391e-06
