t ml_ham
0.000000000000000000e+00 -3.363330223164760123e-05
0.000000000000000000e+00 -3.363330223164760123e-05
0.000000000000000000e+00 -3.363330223164760123e-05
0.000000000000000000e+00 -3.363330223164760123e-05
3.200000000000000067e-01 -2.516044025917400003e-04
3.200000000000000067e-01 -2.516044025917400003e-04
3.200000000000000067e-01 -2.516044025917400003e-04
3.200000000000000067e-01 -2.516044025917400003e-04
6.400000000000000133e-01 -4.923290416159219803e-04
6.400000000000000133e-01 -4.923290416159219803e-04
6.400000000000000133e-01 -4.923290416159219803e-04
6.400000000000000133e-01 -4.923290416159219803e-04
9.599999999999999645e-01 -2.379175413270449846e-03
9.599999999999999645e-01 -2.379175413270449846e-03
9.599999999999999645e-01 -2.379175413270449846e-03
9.599999999999999645e-01 -2.379175413270449846e-03
1.280000000000000027e+00 -1.019766404407810049e-03
1.280000000000000027e+00 -1.019766404407810049e-03
1.280000000000000027e+00 -1.019766404407810049e-03
1.280000000000000027e+00 -1.019766404407810049e-03
1.600000000000000089e+00 -6.699701481257360532e-04
1.600000000000000089e+00 -6.699701481257360532e-04
1.600000000000000089e+00 -6.699701481257360532e-04
1.600000000000000089e+00 -6.699701481257360532e-04
1.919999999999999929e+00 -6.779171638061960324e-04
1.919999999999999929e+00 -6.779171638061960324e-04
1.919999999999999929e+00 -6.779171638061960324e-04
1.919999999999999929e+00 -6.779171638061960324e-04
2.240000000000000213e+00 -4.493142337835850215e-04
2.240000000000000213e+00 -4.493142337835850215e-04
2.240000000000000213e+00 -4.493142337835850215e-04
2.240000000000000213e+00 -4.493142337835850215e-04
2.560000000000000053e+00 2.688005314832559800e-04
2.560000000000000053e+00 2.688005314832559800e-04
2.560000000000000053e+00 2.688005314832559800e-04
2.560000000000000053e+00 2.688005314832559800e-04
2.879999999999999893e+00 -3.929355938995230031e-04
2.879999999999999893e+00 -3.929355938995230031e-04
2.879999999999999893e+00 -3.929355938995230031e-04
2.879999999999999893e+00 -3.929355938995230031e-04
3.200000000000000178e+00 5.107367627044859639e-04
3.200000000000000178e+00 5.107367627044859639e-04
3.200000000000000178e+00 5.107367627044859639e-04
3.200000000000000178e+00 5.107367627044859639e-04
3.520000000000000018e+00 2.502510529830610266e-04
3.520000000000000018e+00 2.502510529830610266e-04
3.520000000000000018e+00 2.502510529830610266e-04
3.520000000000000018e+00 2.502510529830610266e-04
3.839999999999999858e+00 3.194807279769880143e-04
3.839999999999999858e+00 3.194807279769880143e-04
3.839999999999999858e+00 3.194807279769880143e-04
3.839999999999999858e+00 3.194807279769880143e-04
4.160000000000000142e+00 7.325163718970280433e-04
4.160000000000000142e+00 7.325163718970280433e-04
4.160000000000000142e+00 7.325163718970280433e-04
4.160000000000000142e+00 7.325163718970280433e-04
4.480000000000000426e+00 8.657260038971220303e-04
4.480000000000000426e+00 8.657260038971220303e-04
4.480000000000000426e+00 8.657260038971220303e-04
4.480000000000000426e+00 8.657260038971220303e-04
4.799999999999999822e+00 9.582552601530490389e-04
