# x phi
-317.4400000000000 -0.0000000001545
-314.8800000000000 -0.0000000002753
-312.3200000000000 -0.0000000003616
-309.7600000000000 -0.0000000004153
-307.2000000000000 -0.0000000004467
-304.6400000000000 -0.0000000004708
-302.0800000000000 -0.0000000005010
-299.5200000000000 -0.0000000005424
-296.9600000000000 -0.0000000005894
-294.4000000000000 -0.0000000006262
-291.8400000000000 -0.0000000006323
-289.2800000000000 -0.0000000005984
-286.7200000000000 -0.0000000005420
-284.1600000000000 -0.0000000005008
-281.6000000000000 -0.0000000005069
-279.0400000000000 -0.0000000005645
-276.4800000000000 -0.0000000006364
-273.9200000000000 -0.0000000006589
-271.3600000000000 -0.0000000005979
-268.8000000000000 -0.0000000004991
-266.2400000000000 -0.0000000004590
-263.6800000000000 -0.0000000005366
-261.1200000000000 -0.0000000006864
-258.5600000000000 -0.0000000007811
-256.0000000000000 -0.0000000007376
-253.4400000000000 -0.0000000006431
-250.8800000000000 -0.0000000006859
-248.3200000000000 -0.0000000009143
-245.7600000000000 -0.0000000011420
-243.2000000000000 -0.0000000011870
-240.6400000000000 -0.0000000011448
-238.0800000000000 -0.0000000012797
-235.5200000000000 -0.0000000016277
-232.9600000000000 -0.0000000019129
-230.4000000000000 -0.0000000019919
-227.8400000000000 -0.0000000021032
-225.2800000000000 -0.0000000024488
-222.7200000000000 -0.0000000028687
-220.1600000000000 -0.0000000031925
-217.6000000000000 -0.0000000035159
-215.0400000000000 -0.0000000038933
-212.4800000000000 -0.0000000042376
-209.9200000000000 -0.0000000046738
-207.3600000000000 -0.0000000054120
-204.8000000000000 -0.0000000062799
-202.2400000000000 -0.0000000070154
-199.6800000000000 -0.0000000077912
-197.1200000000000 -0.0000000088518
-194.5600000000000 -0.0000000101062
-192.0000000000000 -0.0000000114941
-189.4400000000000 -0.0000000131185
-186.8800000000000 -0.0000000149868
-184.3200000000000 -0.0000000171387
-181.7600000000000 -0.0000000196699
-179.2000000000000 -0.0000000225695
-176.6400000000000 -0.0000000259018
-174.0800000000000 -0.0000000297829
-171.5200000000000 -0.0000000342467
-168.9600000000000 -0.0000000393909
-166.4000000000000 -0.0000000453552
-163.8400000000000 -0.0000000522665
-161.2800000000000 -0.0000000602684
-158.7200000000000 -0.0000000695233
-156.1600000000000 -0.0000000802413
-153.6000000000000 -0.0000000926584
-151.0400000000000 -0.0000001070820
-148.4800000000000 -0.0000001238871
-145.9200000000000 -0.0000001433396
-143.3600000000000 -0.0000001657364
-140.8000000000000 -0.0000001918296
-139.5200000000000 -0.0000002065075
-138.2400000000000 -0.0000002223477
-138.2400000000000 -0.0000002223477
-136.9600000000000 -0.0000002393807
-135.6800000000000 -0.0000002577387
-135.6800000000000 -0.0000002577387
-134.4000000000000 -0.0000002775517
-133.1200000000000 -0.0000002988571
-133.1200000000000 -0.0000002988571
-131.8400000000000 -0.0000003216457
-130.5600000000000 -0.0000003461884
-130.5600000000000 -0.0000003461884
-129.2800000000000 -0.0000003726556
-128.0000000000000 -0.0000004013396
-128.0000000000000 -0.0000004013396
-126.7200000000000 -0.0000004325149
-125.4400000000000 -0.0000004664052
-125.4400000000000 -0.0000004664052
