t rhs_phi_tracker
0.000000000000000000e+00 1.968084071671640179e+243
0.000000000000000000e+00 1.968084071671640179e+243
0.000000000000000000e+00 1.968084071671640179e+243
0.000000000000000000e+00 1.968084071671640179e+243
8.000000000000000167e-02 -8.267222923371200493e-08
8.000000000000000167e-02 -8.267222923371200493e-08
8.000000000000000167e-02 -8.267222923371200493e-08
1.600000000000000033e-01 4.621536967401330146e-08
1.600000000000000033e-01 4.621536967401330146e-08
1.600000000000000033e-01 4.621536967401330146e-08
1.600000000000000033e-01 4.621536967401330146e-08
2.399999999999999911e-01 -2.948826608516749972e-08
2.399999999999999911e-01 -2.948826608516749972e-08
2.399999999999999911e-01 -2.948826608516749972e-08
3.200000000000000067e-01 6.133426250924980274e-09
3.200000000000000067e-01 6.133426250924980274e-09
3.200000000000000067e-01 6.133426250924980274e-09
3.200000000000000067e-01 6.133426250924980274e-09
4.000000000000000222e-01 5.355400188358189744e-08
4.000000000000000222e-01 5.355400188358189744e-08
4.000000000000000222e-01 5.355400188358189744e-08
4.799999999999999822e-01 -3.034391705208490324e-08
4.799999999999999822e-01 -3.034391705208490324e-08
4.799999999999999822e-01 -3.034391705208490324e-08
4.799999999999999822e-01 -3.034391705208490324e-08
5.600000000000000533e-01 -4.854955497524719761e-08
5.600000000000000533e-01 -4.854955497524719761e-08
5.600000000000000533e-01 -4.854955497524719761e-08
6.400000000000000133e-01 1.489275834132460052e-08
6.400000000000000133e-01 1.489275834132460052e-08
6.400000000000000133e-01 1.489275834132460052e-08
6.400000000000000133e-01 1.489275834132460052e-08
7.199999999999999734e-01 4.765545348874339820e-08
7.199999999999999734e-01 4.765545348874339820e-08
7.199999999999999734e-01 4.765545348874339820e-08
8.000000000000000444e-01 -6.352831880755629874e-09
8.000000000000000444e-01 -6.352831880755629874e-09
8.000000000000000444e-01 -6.352831880755629874e-09
8.000000000000000444e-01 -6.352831880755629874e-09
8.800000000000000044e-01 -5.684475088890450248e-08
8.800000000000000044e-01 -5.684475088890450248e-08
8.800000000000000044e-01 -5.684475088890450248e-08
9.599999999999999645e-01 -2.025853638520660009e-08
9.599999999999999645e-01 -2.025853638520660009e-08
9.599999999999999645e-01 -2.025853638520660009e-08
9.599999999999999645e-01 -2.025853638520660009e-08
1.040000000000000036e+00 4.813489878256059885e-08
1.040000000000000036e+00 4.813489878256059885e-08
1.040000000000000036e+00 4.813489878256059885e-08
1.120000000000000107e+00 5.481237380524700327e-08
1.120000000000000107e+00 5.481237380524700327e-08
1.120000000000000107e+00 5.481237380524700327e-08
1.120000000000000107e+00 5.481237380524700327e-08
1.199999999999999956e+00 -1.409508729202119938e-09
1.199999999999999956e+00 -1.409508729202119938e-09
1.199999999999999956e+00 -1.409508729202119938e-09
1.280000000000000027e+00 -5.272207743652490315e-08
1.280000000000000027e+00 -5.272207743652490315e-08
1.280000000000000027e+00 -5.272207743652490315e-08
1.280000000000000027e+00 -5.272207743652490315e-08
1.360000000000000098e+00 -5.573050423276070190e-08
1.360000000000000098e+00 -5.573050423276070190e-08
1.360000000000000098e+00 -5.573050423276070190e-08
1.439999999999999947e+00 -2.403863607266269904e-08
1.439999999999999947e+00 -2.403863607266269904e-08
1.439999999999999947e+00 -2.403863607266269904e-08
1.439999999999999947e+00 -2.403863607266269904e-08
1.520000000000000018e+00 8.799156887864039790e-09
1.520000000000000018e+00 8.799156887864039790e-09
1.520000000000000018e+00 8.799156887864039790e-09
1.600000000000000089e+00 2.716274216074430139e-08
1.600000000000000089e+00 2.716274216074430139e-08
1.600000000000000089e+00 2.716274216074430139e-08
1.600000000000000089e+00 2.716274216074430139e-08
1.679999999999999938e+00 3.106377693417099930e-08
1.679999999999999938e+00 3.106377693417099930e-08
1.679999999999999938e+00 3.106377693417099930e-08
1.760000000000000009e+00 1.907784697671499946e-08
1.760000000000000009e+00 1.907784697671499946e-08
1.760000000000000009e+00 1.907784697671499946e-08
1.760000000000000009e+00 1.907784697671499946e-08
1.840000000000000080e+00 -7.675904859185490629e-09
1.840000000000000080e+00 -7.675904859185490629e-09
1.840000000000000080e+00 -7.675904859185490629e-09
1.919999999999999929e+00 -2.956532192460160087e-08
1.919999999999999929e+00 -2.956532192460160087e-08
1.919999999999999929e+00 -2.956532192460160087e-08
1.919999999999999929e+00 -2.956532192460160087e-08
2.000000000000000000e+00 -1.978049017828130085e-08
2.000000000000000000e+00 -1.978049017828130085e-08
2.000000000000000000e+00 -1.978049017828130085e-08
2.080000000000000071e+00 1.375620905630200010e-08
2.080000000000000071e+00 1.375620905630200010e-08
2.080000000000000071e+00 1.375620905630200010e-08
2.080000000000000071e+00 1.375620905630200010e-08
2.160000000000000142e+00 2.268411146676129951e-08
2.160000000000000142e+00 2.268411146676129951e-08
2.160000000000000142e+00 2.268411146676129951e-08
