t ml_ham
0.000000000000000000e+00 -7.396975804512210401e-03
0.000000000000000000e+00 -7.396975804512210401e-03
0.000000000000000000e+00 -7.396975804512210401e-03
3.200000000000000067e-01 -7.353411622436110268e-03
3.200000000000000067e-01 -7.353411622436110268e-03
3.200000000000000067e-01 -7.353411622436110268e-03
6.400000000000000133e-01 -7.323600326828379886e-03
6.400000000000000133e-01 -7.323600326828379886e-03
6.400000000000000133e-01 -7.323600326828379886e-03
9.599999999999999645e-01 -7.458990445422349590e-03
9.599999999999999645e-01 -7.458990445422349590e-03
9.599999999999999645e-01 -7.458990445422349590e-03
1.280000000000000027e+00 -7.195295527349009936e-03
1.280000000000000027e+00 -7.195295527349009936e-03
1.280000000000000027e+00 -7.195295527349009936e-03
1.600000000000000089e+00 -7.359420006829089575e-03
1.600000000000000089e+00 -7.359420006829089575e-03
1.600000000000000089e+00 -7.359420006829089575e-03
1.919999999999999929e+00 -7.379923753891430224e-03
1.919999999999999929e+00 -7.379923753891430224e-03
1.919999999999999929e+00 -7.379923753891430224e-03
2.240000000000000213e+00 -7.066270516461720108e-03
2.240000000000000213e+00 -7.066270516461720108e-03
2.240000000000000213e+00 -7.066270516461720108e-03
2.560000000000000053e+00 -7.308570355824730268e-03
2.560000000000000053e+00 -7.308570355824730268e-03
2.560000000000000053e+00 -7.308570355824730268e-03
2.879999999999999893e+00 -7.478111042758620389e-03
2.879999999999999893e+00 -7.478111042758620389e-03
2.879999999999999893e+00 -7.478111042758620389e-03
3.200000000000000178e+00 -7.058951416597039792e-03
3.200000000000000178e+00 -7.058951416597039792e-03
3.200000000000000178e+00 -7.058951416597039792e-03
3.520000000000000018e+00 -7.314246689098450119e-03
3.520000000000000018e+00 -7.314246689098450119e-03
3.520000000000000018e+00 -7.314246689098450119e-03
3.839999999999999858e+00 -7.311620285841120316e-03
3.839999999999999858e+00 -7.311620285841120316e-03
3.839999999999999858e+00 -7.311620285841120316e-03
4.160000000000000142e+00 -7.100655216648090080e-03
4.160000000000000142e+00 -7.100655216648090080e-03
4.160000000000000142e+00 -7.100655216648090080e-03
4.480000000000000426e+00 -7.444758890907819844e-03
4.480000000000000426e+00 -7.444758890907819844e-03
4.480000000000000426e+00 -7.444758890907819844e-03
4.799999999999999822e+00 -7.028460563546810175e-03
4.799999999999999822e+00 -7.028460563546810175e-03
4.799999999999999822e+00 -7.028460563546810175e-03
5.120000000000000107e+00 -7.320941579804119727e-03
5.120000000000000107e+00 -7.320941579804119727e-03
5.120000000000000107e+00 -7.320941579804119727e-03
5.440000000000000391e+00 -7.333381253968519753e-03
5.440000000000000391e+00 -7.333381253968519753e-03
5.440000000000000391e+00 -7.333381253968519753e-03
5.759999999999999787e+00 -7.187889617997879690e-03
5.759999999999999787e+00 -7.187889617997879690e-03
5.759999999999999787e+00 -7.187889617997879690e-03
6.080000000000000071e+00 -6.903211845942990380e-03
6.080000000000000071e+00 -6.903211845942990380e-03
6.080000000000000071e+00 -6.903211845942990380e-03
6.400000000000000355e+00 -7.530080397576330124e-03
6.400000000000000355e+00 -7.530080397576330124e-03
6.400000000000000355e+00 -7.530080397576330124e-03
6.719999999999999751e+00 -7.301466795945760202e-03
6.719999999999999751e+00 -7.301466795945760202e-03
6.719999999999999751e+00 -7.301466795945760202e-03
7.040000000000000036e+00 -6.786951618924850008e-03
7.040000000000000036e+00 -6.786951618924850008e-03
7.040000000000000036e+00 -6.786951618924850008e-03
7.360000000000000320e+00 -7.711599177910570362e-03
7.360000000000000320e+00 -7.711599177910570362e-03
7.360000000000000320e+00 -7.711599177910570362e-03
7.679999999999999716e+00 -6.880718839092289651e-03
7.679999999999999716e+00 -6.880718839092289651e-03
7.679999999999999716e+00 -6.880718839092289651e-03
8.000000000000000000e+00 -6.909825247981560281e-03
8.000000000000000000e+00 -6.909825247981560281e-03
8.000000000000000000e+00 -6.909825247981560281e-03
8.320000000000000284e+00 -7.826815839096319324e-03
8.320000000000000284e+00 -7.826815839096319324e-03
8.320000000000000284e+00 -7.826815839096319324e-03
8.640000000000000568e+00 -6.660161625300889572e-03
8.640000000000000568e+00 -6.660161625300889572e-03
8.640000000000000568e+00 -6.660161625300889572e-03
8.960000000000000853e+00 -7.348546501408749661e-03
8.960000000000000853e+00 -7.348546501408749661e-03
8.960000000000000853e+00 -7.348546501408749661e-03
9.279999999999999361e+00 -7.146143255627729687e-03
9.279999999999999361e+00 -7.146143255627729687e-03
9.279999999999999361e+00 -7.146143255627729687e-03
9.599999999999999645e+00 -6.631087652989120160e-03
9.599999999999999645e+00 -6.631087652989120160e-03
9.599999999999999645e+00 -6.631087652989120160e-03
9.919999999999999929e+00 -7.882214991691829584e-03
9.919999999999999929e+00 -7.882214991691829584e-03
9.919999999999999929e+00 -7.882214991691829584e-03
1.024000000000000021e+01 -6.738972338214639646e-03
1.024000000000000021e+01 -6.738972338214639646e-03
1.024000000000000021e+01 -6.738972338214639646e-03
1.056000000000000050e+01 -6.285842882559400380e-03
1.056000000000000050e+01 -6.285842882559400380e-03
1.056000000000000050e+01 -6.285842882559400380e-03
1.088000000000000078e+01 -8.119242612861820793e-03
1.088000000000000078e+01 -8.119242612861820793e-03
1.088000000000000078e+01 -8.119242612861820793e-03
1.119999999999999929e+01 -6.837882869501849849e-03
1.119999999999999929e+01 -6.837882869501849849e-03
1.119999999999999929e+01 -6.837882869501849849e-03
1.151999999999999957e+01 -5.983909905645039794e-03
1.151999999999999957e+01 -5.983909905645039794e-03
1.151999999999999957e+01 -5.983909905645039794e-03
1.183999999999999986e+01 -7.910388982883589590e-03
1.183999999999999986e+01 -7.910388982883589590e-03
1.183999999999999986e+01 -7.910388982883589590e-03
1.216000000000000014e+01 -6.778467481178680060e-03
1.216000000000000014e+01 -6.778467481178680060e-03
1.216000000000000014e+01 -6.778467481178680060e-03
1.248000000000000043e+01 -6.611100682156669656e-03
1.248000000000000043e+01 -6.611100682156669656e-03
1.248000000000000043e+01 -6.611100682156669656e-03
1.280000000000000071e+01 -6.689078508070669948e-03
1.280000000000000071e+01 -6.689078508070669948e-03
1.280000000000000071e+01 -6.689078508070669948e-03
1.311999999999999922e+01 -7.060712513663579791e-03
1.311999999999999922e+01 -7.060712513663579791e-03
1.311999999999999922e+01 -7.060712513663579791e-03
1.343999999999999950e+01 -7.302948037105730025e-03
1.343999999999999950e+01 -7.302948037105730025e-03
1.343999999999999950e+01 -7.302948037105730025e-03
1.375999999999999979e+01 -5.557012651502200341e-03
1.375999999999999979e+01 -5.557012651502200341e-03
1.375999999999999979e+01 -5.557012651502200341e-03
