t shift
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000033e-01 -1.431252233798620064e-17
1.600000000000000033e-01 -1.431252233798620064e-17
1.600000000000000033e-01 -1.431252233798620064e-17
3.200000000000000067e-01 2.063723706911420114e-17
3.200000000000000067e-01 2.063723706911420114e-17
3.200000000000000067e-01 2.063723706911420114e-17
4.799999999999999822e-01 -1.897019380636280104e-17
4.799999999999999822e-01 -1.897019380636280104e-17
4.799999999999999822e-01 -1.897019380636280104e-17
6.400000000000000133e-01 5.767756417755099879e-18
6.400000000000000133e-01 5.767756417755099879e-18
6.400000000000000133e-01 5.767756417755099879e-18
8.000000000000000444e-01 1.445324660902269937e-17
8.000000000000000444e-01 1.445324660902269937e-17
8.000000000000000444e-01 1.445324660902269937e-17
9.599999999999999645e-01 -2.258520563726920100e-17
9.599999999999999645e-01 -2.258520563726920100e-17
9.599999999999999645e-01 -2.258520563726920100e-17
1.120000000000000107e+00 1.300389580547440056e-17
1.120000000000000107e+00 1.300389580547440056e-17
1.120000000000000107e+00 1.300389580547440056e-17
1.280000000000000027e+00 -6.707134466563640221e-18
1.280000000000000027e+00 -6.707134466563640221e-18
1.280000000000000027e+00 -6.707134466563640221e-18
1.439999999999999947e+00 1.600967943692049918e-17
1.439999999999999947e+00 1.600967943692049918e-17
1.439999999999999947e+00 1.600967943692049918e-17
1.600000000000000089e+00 -2.478416100257330124e-17
1.600000000000000089e+00 -2.478416100257330124e-17
1.600000000000000089e+00 -2.478416100257330124e-17
1.760000000000000009e+00 2.014210675487659893e-17
1.760000000000000009e+00 2.014210675487659893e-17
1.760000000000000009e+00 2.014210675487659893e-17
1.919999999999999929e+00 -1.177732274718870059e-17
1.919999999999999929e+00 -1.177732274718870059e-17
1.919999999999999929e+00 -1.177732274718870059e-17
2.080000000000000071e+00 7.392649086118160277e-18
2.080000000000000071e+00 7.392649086118160277e-18
2.080000000000000071e+00 7.392649086118160277e-18
2.240000000000000213e+00 -7.453028111317449957e-19
2.240000000000000213e+00 -7.453028111317449957e-19
2.240000000000000213e+00 -7.453028111317449957e-19
2.399999999999999911e+00 -8.749261032120529321e-18
2.399999999999999911e+00 -8.749261032120529321e-18
2.399999999999999911e+00 -8.749261032120529321e-18
2.560000000000000053e+00 1.126711450578109990e-17
2.560000000000000053e+00 1.126711450578109990e-17
2.560000000000000053e+00 1.126711450578109990e-17
2.720000000000000195e+00 -5.303141090151880069e-18
2.720000000000000195e+00 -5.303141090151880069e-18
2.720000000000000195e+00 -5.303141090151880069e-18
2.879999999999999893e+00 6.831241583363480190e-19
2.879999999999999893e+00 6.831241583363480190e-19
2.879999999999999893e+00 6.831241583363480190e-19
3.040000000000000036e+00 -2.457598692663820016e-18
3.040000000000000036e+00 -2.457598692663820016e-18
3.040000000000000036e+00 -2.457598692663820016e-18
3.200000000000000178e+00 5.940117703003820229e-18
3.200000000000000178e+00 5.940117703003820229e-18
3.200000000000000178e+00 5.940117703003820229e-18
3.359999999999999876e+00 -5.777638297076970288e-18
3.359999999999999876e+00 -5.777638297076970288e-18
3.359999999999999876e+00 -5.777638297076970288e-18
3.520000000000000018e+00 1.173791328704860035e-18
3.520000000000000018e+00 1.173791328704860035e-18
3.520000000000000018e+00 1.173791328704860035e-18
3.680000000000000160e+00 3.122062473771669842e-18
3.680000000000000160e+00 3.122062473771669842e-18
3.680000000000000160e+00 3.122062473771669842e-18
3.839999999999999858e+00 -6.500784917718970031e-18
3.839999999999999858e+00 -6.500784917718970031e-18
3.839999999999999858e+00 -6.500784917718970031e-18
4.000000000000000000e+00 6.715003621321779699e-18
4.000000000000000000e+00 6.715003621321779699e-18
4.000000000000000000e+00 6.715003621321779699e-18
4.160000000000000142e+00 -5.953114803573260126e-18
4.160000000000000142e+00 -5.953114803573260126e-18
4.160000000000000142e+00 -5.953114803573260126e-18
4.320000000000000284e+00 5.282978722377550359e-18
4.320000000000000284e+00 5.282978722377550359e-18
4.320000000000000284e+00 5.282978722377550359e-18
4.480000000000000426e+00 -5.041939675273269855e-18
4.480000000000000426e+00 -5.041939675273269855e-18
4.480000000000000426e+00 -5.041939675273269855e-18
4.639999999999999680e+00 5.688274733021489642e-18
4.639999999999999680e+00 5.688274733021489642e-18
4.639999999999999680e+00 5.688274733021489642e-18
4.799999999999999822e+00 -7.830655202249349752e-18
4.799999999999999822e+00 -7.830655202249349752e-18
4.799999999999999822e+00 -7.830655202249349752e-18
4.959999999999999964e+00 4.881194145788949903e-18
4.959999999999999964e+00 4.881194145788949903e-18
4.959999999999999964e+00 4.881194145788949903e-18
5.120000000000000107e+00 1.127103373518270048e-18
5.120000000000000107e+00 1.127103373518270048e-18
5.120000000000000107e+00 1.127103373518270048e-18
5.280000000000000249e+00 -1.152833719492909948e-18
5.280000000000000249e+00 -1.152833719492909948e-18
5.280000000000000249e+00 -1.152833719492909948e-18
5.440000000000000391e+00 -4.500486394330949776e-18
5.440000000000000391e+00 -4.500486394330949776e-18
5.440000000000000391e+00 -4.500486394330949776e-18
5.599999999999999645e+00 7.722439265654099880e-18
5.599999999999999645e+00 7.722439265654099880e-18
5.599999999999999645e+00 7.722439265654099880e-18
5.759999999999999787e+00 9.503637139535120218e-19
5.759999999999999787e+00 9.503637139535120218e-19
5.759999999999999787e+00 9.503637139535120218e-19
5.919999999999999929e+00 -1.045722908888360038e-17
5.919999999999999929e+00 -1.045722908888360038e-17
5.919999999999999929e+00 -1.045722908888360038e-17
6.080000000000000071e+00 2.646644204150620072e-17
6.080000000000000071e+00 2.646644204150620072e-17
6.080000000000000071e+00 2.646644204150620072e-17
6.240000000000000213e+00 -1.157085626383110054e-17
6.240000000000000213e+00 -1.157085626383110054e-17
6.240000000000000213e+00 -1.157085626383110054e-17
6.400000000000000355e+00 7.270625420836510085e-17
6.400000000000000355e+00 7.270625420836510085e-17
6.400000000000000355e+00 7.270625420836510085e-17
6.559999999999999609e+00 -6.024382513491209671e-17
6.559999999999999609e+00 -6.024382513491209671e-17
6.559999999999999609e+00 -6.024382513491209671e-17
6.719999999999999751e+00 1.608006837811210015e-16
6.719999999999999751e+00 1.608006837811210015e-16
6.719999999999999751e+00 1.608006837811210015e-16
6.879999999999999893e+00 1.166103695259930057e-17
6.879999999999999893e+00 1.166103695259930057e-17
6.879999999999999893e+00 1.166103695259930057e-17
7.040000000000000036e+00 -2.091548466594489866e-17
7.040000000000000036e+00 -2.091548466594489866e-17
7.040000000000000036e+00 -2.091548466594489866e-17
7.200000000000000178e+00 2.777477055511509919e-17
7.200000000000000178e+00 2.777477055511509919e-17
7.200000000000000178e+00 2.777477055511509919e-17
7.360000000000000320e+00 -2.896424733637859969e-17
7.360000000000000320e+00 -2.896424733637859969e-17
