t re(Psi4_2_0) im(Psi4_2_0)  
5.280000000000000249e+00 5.857138432221464180e-12 4.383750424889420904e-18
5.440000000000000391e+00 5.858687532949470375e-12 6.063122050588272974e-18
5.599999999999999645e+00 5.886046246733150945e-12 7.982062773145312389e-18
5.759999999999999787e+00 5.939214573572519624e-12 1.014057259257265017e-17
5.919999999999999929e+00 6.010345585528633124e-12 1.185104292462413266e-17
6.080000000000000071e+00 6.104147439364975355e-12 1.352603891973811115e-17
6.240000000000000213e+00 6.220620135081526122e-12 1.516556057799151652e-17
6.400000000000000355e+00 6.359763672678077015e-12 1.676960789933146892e-17
6.559999999999999609e+00 6.467847224126623455e-12 1.833372876486044229e-17
6.719999999999999751e+00 6.577109286244072072e-12 1.986059444587712311e-17
6.879999999999999893e+00 6.687549859030492335e-12 2.135020494241519511e-17
7.040000000000000036e+00 6.799168942485774384e-12 2.280256025450376912e-17
7.200000000000000178e+00 6.863658308825257493e-12 2.384376988271883685e-17
7.360000000000000320e+00 6.910002894719770409e-12 2.469816812673253231e-17
7.519999999999999574e+00 6.938202700169355138e-12 2.536575498650242340e-17
7.679999999999999716e+00 6.948257725173926053e-12 2.584653046209728585e-17
7.839999999999999858e+00 6.934811028110101157e-12 2.644467385995804052e-17
8.000000000000000000e+00 6.901076773952008683e-12 2.697767759625917303e-17
8.160000000000000142e+00 6.847054962699399831e-12 2.744554167093885949e-17
8.320000000000000284e+00 6.772745594352634070e-12 2.784826608399424028e-17
8.480000000000000426e+00 6.708989774245424220e-12 2.781771864957758690e-17
8.640000000000000568e+00 6.637282839177494605e-12 2.757477867920644196e-17
8.800000000000000711e+00 6.557624789148960740e-12 2.711944617290834778e-17
8.960000000000000853e+00 6.470015624159582710e-12 2.645172113061893518e-17
9.119999999999999218e+00 6.408128735112468933e-12 2.527643166584486722e-17
9.279999999999999361e+00 6.351760087465755650e-12 2.377068091047577602e-17
9.439999999999999503e+00 6.300909681219543835e-12 2.193446886453937955e-17
9.599999999999999645e+00 6.255577516373782599e-12 1.976779552800726033e-17
