t re(Psi4_2_0) im(Psi4_2_0)  
5.120000000000000107e+00 2.622717698045211705e-12 6.023274138442859920e-18
5.280000000000000249e+00 2.448462015982745217e-12 6.295514220317178379e-18
5.440000000000000391e+00 2.309138531829715228e-12 6.581514307142700028e-18
5.599999999999999645e+00 2.257514153085046545e-12 6.799042387011828337e-18
5.759999999999999787e+00 2.243184322527513743e-12 6.580919889195620838e-18
5.919999999999999929e+00 2.349461486295909389e-12 6.907527335559982256e-18
6.080000000000000071e+00 2.533420688645606694e-12 7.454645948044319885e-18
6.240000000000000213e+00 2.814290759672368453e-12 7.883530567739602465e-18
6.400000000000000355e+00 3.095584376506409920e-12 8.596365113975819299e-18
6.559999999999999609e+00 3.408413286508212357e-12 8.445656739054436674e-18
6.719999999999999751e+00 3.768199198105229293e-12 7.792170712994893216e-18
6.879999999999999893e+00 4.149923332831854337e-12 7.062388657237116588e-18
7.040000000000000036e+00 4.631784146832173159e-12 6.398550914504587863e-18
7.200000000000000178e+00 4.889267250104238343e-12 5.269711039216232914e-18
7.360000000000000320e+00 5.076262983517661855e-12 3.892706399867210571e-18
7.519999999999999574e+00 5.190159850553774483e-12 2.969510713786391839e-18
7.679999999999999716e+00 5.346740896917886677e-12 2.374101274357353211e-18
7.839999999999999858e+00 5.317193285563133740e-12 2.354912169830792427e-18
8.000000000000000000e+00 5.206873919771551140e-12 2.782002910703245847e-18
8.160000000000000142e+00 5.030655888034047213e-12 3.041568340662384604e-18
8.320000000000000284e+00 4.704550787019876819e-12 2.613182311169686959e-18
8.480000000000000426e+00 4.454216947799732119e-12 2.563178629725298971e-18
8.640000000000000568e+00 4.196183881474247955e-12 2.524638253391107576e-18
8.800000000000000711e+00 3.960688449023105425e-12 2.240914207345249436e-18
8.960000000000000853e+00 3.680867496804271327e-12 1.433522278123968096e-18
9.119999999999999218e+00 3.464044578523625090e-12 6.634844821066658219e-19
9.279999999999999361e+00 3.239321005446156493e-12 -2.233336724017999091e-19
9.439999999999999503e+00 3.047360308750466449e-12 -1.075261576138573008e-18
9.599999999999999645e+00 2.961155722573004253e-12 -1.838020415386385425e-18
9.759999999999999787e+00 2.869573300940824390e-12 -2.370192295020358729e-18
9.919999999999999929e+00 2.777348564005771691e-12 -2.779976306606288008e-18
1.008000000000000007e+01 2.669880772787948570e-12 -2.967050297979355156e-18
1.024000000000000021e+01 2.445503369904523765e-12 -3.221282962911899609e-18
1.040000000000000036e+01 2.427833681704076587e-12 -3.328537903821313440e-18
1.056000000000000050e+01 2.502641925884792680e-12 -3.373000963712704173e-18
1.072000000000000064e+01 2.596121299444462180e-12 -3.382575288640760393e-18
1.088000000000000078e+01 2.503428081175541900e-12 -2.753718271546994701e-18
1.103999999999999915e+01 2.600773284175862338e-12 -2.663358048404504866e-18
1.119999999999999929e+01 2.781919101727026507e-12 -2.737815780988012700e-18
1.135999999999999943e+01 3.015237237460768298e-12 -2.510240841541844648e-18
1.151999999999999957e+01 3.459993619521514297e-12 -1.660191651865784873e-18
1.167999999999999972e+01 3.652458428146156285e-12 -1.247692028519614321e-18
1.183999999999999986e+01 3.771829262234342618e-12 -8.738686838432266086e-19
1.200000000000000000e+01 3.863387812219591941e-12 -7.443349929674008598e-19
1.216000000000000014e+01 4.241921523167470852e-12 -6.555457498780004310e-19
1.232000000000000028e+01 4.259247522733779007e-12 -5.487643708430350407e-19
1.248000000000000043e+01 4.140610775262730927e-12 -4.617766845488707169e-19
1.264000000000000057e+01 3.944462468425844506e-12 -4.904072207898404158e-19
1.280000000000000071e+01 3.714080156849683076e-12 3.683541697374568501e-20
1.296000000000000085e+01 3.468265492946452748e-12 5.129226928550840135e-19
1.311999999999999922e+01 3.189693532302558786e-12 1.172179293054114343e-18
1.327999999999999936e+01 2.922408191111632950e-12 2.299111942547541339e-18
1.343999999999999950e+01 2.547278753886202067e-12 3.440626802366145785e-18
1.359999999999999964e+01 2.378202224407722703e-12 4.989481344346603906e-18
1.375999999999999979e+01 2.292517832842090610e-12 6.849004340462666831e-18
1.391999999999999993e+01 2.272893731936460504e-12 8.254432450818764313e-18
