t ml_ham
0.000000000000000000e+00 -2.662093994233349914e-02
0.000000000000000000e+00 -2.662093994233349914e-02
0.000000000000000000e+00 -2.662093994233349914e-02
1.600000000000000033e-01 -2.664236739626560033e-02
1.600000000000000033e-01 -2.664236739626560033e-02
1.600000000000000033e-01 -2.664236739626560033e-02
3.200000000000000067e-01 -2.640666387378199850e-02
3.200000000000000067e-01 -2.640666387378199850e-02
3.200000000000000067e-01 -2.640666387378199850e-02
4.799999999999999822e-01 -2.717493709768049881e-02
4.799999999999999822e-01 -2.717493709768049881e-02
4.799999999999999822e-01 -2.717493709768049881e-02
6.400000000000000133e-01 -2.694747567138849886e-02
6.400000000000000133e-01 -2.694747567138849886e-02
6.400000000000000133e-01 -2.694747567138849886e-02
8.000000000000000444e-01 -2.863589769069179933e-02
8.000000000000000444e-01 -2.863589769069179933e-02
8.000000000000000444e-01 -2.863589769069179933e-02
9.599999999999999645e-01 -2.679360526574970161e-02
9.599999999999999645e-01 -2.679360526574970161e-02
9.599999999999999645e-01 -2.679360526574970161e-02
1.120000000000000107e+00 -2.519608658634020157e-02
1.120000000000000107e+00 -2.519608658634020157e-02
1.120000000000000107e+00 -2.519608658634020157e-02
1.280000000000000027e+00 -2.698684966249199901e-02
1.280000000000000027e+00 -2.698684966249199901e-02
1.280000000000000027e+00 -2.698684966249199901e-02
1.439999999999999947e+00 -2.647699641948349919e-02
1.439999999999999947e+00 -2.647699641948349919e-02
1.439999999999999947e+00 -2.647699641948349919e-02
1.600000000000000089e+00 -2.749459860240120040e-02
1.600000000000000089e+00 -2.749459860240120040e-02
1.600000000000000089e+00 -2.749459860240120040e-02
1.760000000000000009e+00 -2.737359119704380062e-02
1.760000000000000009e+00 -2.737359119704380062e-02
1.760000000000000009e+00 -2.737359119704380062e-02
1.919999999999999929e+00 -2.701683027778219864e-02
1.919999999999999929e+00 -2.701683027778219864e-02
1.919999999999999929e+00 -2.701683027778219864e-02
2.080000000000000071e+00 -2.622547179796369879e-02
2.080000000000000071e+00 -2.622547179796369879e-02
2.080000000000000071e+00 -2.622547179796369879e-02
2.240000000000000213e+00 -2.531947259144419829e-02
2.240000000000000213e+00 -2.531947259144419829e-02
2.240000000000000213e+00 -2.531947259144419829e-02
2.399999999999999911e+00 -2.997982501925169907e-02
2.399999999999999911e+00 -2.997982501925169907e-02
2.399999999999999911e+00 -2.997982501925169907e-02
2.560000000000000053e+00 -2.562793101205389917e-02
2.560000000000000053e+00 -2.562793101205389917e-02
2.560000000000000053e+00 -2.562793101205389917e-02
2.720000000000000195e+00 -2.540532532892450165e-02
2.720000000000000195e+00 -2.540532532892450165e-02
2.720000000000000195e+00 -2.540532532892450165e-02
2.879999999999999893e+00 -2.882030327685829868e-02
2.879999999999999893e+00 -2.882030327685829868e-02
2.879999999999999893e+00 -2.882030327685829868e-02
3.040000000000000036e+00 -2.556239017053249865e-02
