t ml_ham
0.000000000000000000e+00 -2.168039677031839956e-03
0.000000000000000000e+00 -2.168039677031839956e-03
0.000000000000000000e+00 -2.168039677031839956e-03
1.600000000000000033e-01 -2.357765110574349971e-03
1.600000000000000033e-01 -2.357765110574349971e-03
1.600000000000000033e-01 -2.357765110574349971e-03
3.200000000000000067e-01 -2.483236219473120010e-03
3.200000000000000067e-01 -2.483236219473120010e-03
3.200000000000000067e-01 -2.483236219473120010e-03
4.799999999999999822e-01 -2.419853888428779784e-03
4.799999999999999822e-01 -2.419853888428779784e-03
4.799999999999999822e-01 -2.419853888428779784e-03
6.400000000000000133e-01 -2.174512945440560015e-03
6.400000000000000133e-01 -2.174512945440560015e-03
6.400000000000000133e-01 -2.174512945440560015e-03
8.000000000000000444e-01 -2.468378288786099873e-03
8.000000000000000444e-01 -2.468378288786099873e-03
8.000000000000000444e-01 -2.468378288786099873e-03
9.599999999999999645e-01 -2.386414123445900100e-03
9.599999999999999645e-01 -2.386414123445900100e-03
9.599999999999999645e-01 -2.386414123445900100e-03
1.120000000000000107e+00 -2.354314815949049792e-03
1.120000000000000107e+00 -2.354314815949049792e-03
1.120000000000000107e+00 -2.354314815949049792e-03
1.280000000000000027e+00 -2.001660030974770216e-03
1.280000000000000027e+00 -2.001660030974770216e-03
1.280000000000000027e+00 -2.001660030974770216e-03
1.439999999999999947e+00 -2.412768246224460122e-03
1.439999999999999947e+00 -2.412768246224460122e-03
1.439999999999999947e+00 -2.412768246224460122e-03
1.600000000000000089e+00 -2.750801575126569833e-03
1.600000000000000089e+00 -2.750801575126569833e-03
1.600000000000000089e+00 -2.750801575126569833e-03
1.760000000000000009e+00 -2.041413210625590054e-03
1.760000000000000009e+00 -2.041413210625590054e-03
1.760000000000000009e+00 -2.041413210625590054e-03
1.919999999999999929e+00 -2.347884737912980021e-03
1.919999999999999929e+00 -2.347884737912980021e-03
1.919999999999999929e+00 -2.347884737912980021e-03
2.080000000000000071e+00 -2.229149735947929915e-03
2.080000000000000071e+00 -2.229149735947929915e-03
2.080000000000000071e+00 -2.229149735947929915e-03
2.240000000000000213e+00 -2.384139977702290185e-03
2.240000000000000213e+00 -2.384139977702290185e-03
2.240000000000000213e+00 -2.384139977702290185e-03
2.399999999999999911e+00 -1.983748423955539967e-03
2.399999999999999911e+00 -1.983748423955539967e-03
2.399999999999999911e+00 -1.983748423955539967e-03
2.560000000000000053e+00 -2.874921081064970175e-03
2.560000000000000053e+00 -2.874921081064970175e-03
2.560000000000000053e+00 -2.874921081064970175e-03
2.720000000000000195e+00 -2.211581004022529929e-03
2.720000000000000195e+00 -2.211581004022529929e-03
2.720000000000000195e+00 -2.211581004022529929e-03
2.879999999999999893e+00 -1.758608795679529905e-03
2.879999999999999893e+00 -1.758608795679529905e-03
2.879999999999999893e+00 -1.758608795679529905e-03
3.040000000000000036e+00 -2.934713274780600002e-03
3.040000000000000036e+00 -2.934713274780600002e-03
3.040000000000000036e+00 -2.934713274780600002e-03
