# x phi
-317.4400000000000 -0.0000000001751
-314.8800000000000 -0.0000000003259
-312.3200000000000 -0.0000000004540
-309.7600000000000 -0.0000000005589
-307.2000000000000 -0.0000000006417
-304.6400000000000 -0.0000000007010
-302.0800000000000 -0.0000000007346
-299.5200000000000 -0.0000000007485
-296.9600000000000 -0.0000000007544
-294.4000000000000 -0.0000000007594
-291.8400000000000 -0.0000000007647
-289.2800000000000 -0.0000000007697
-286.7200000000000 -0.0000000007749
-284.1600000000000 -0.0000000007815
-281.6000000000000 -0.0000000007901
-279.0400000000000 -0.0000000008005
-276.4800000000000 -0.0000000008135
-273.9200000000000 -0.0000000008300
-271.3600000000000 -0.0000000008513
-268.8000000000000 -0.0000000008775
-266.2400000000000 -0.0000000009072
-263.6800000000000 -0.0000000009401
-261.1200000000000 -0.0000000009769
-258.5600000000000 -0.0000000010164
-256.0000000000000 -0.0000000010561
-253.4400000000000 -0.0000000010947
-250.8800000000000 -0.0000000011374
-248.3200000000000 -0.0000000011903
-245.7600000000000 -0.0000000012538
-243.2000000000000 -0.0000000013341
-240.6400000000000 -0.0000000014374
-238.0800000000000 -0.0000000015634
-235.5200000000000 -0.0000000017081
-232.9600000000000 -0.0000000018698
-230.4000000000000 -0.0000000020460
-227.8400000000000 -0.0000000022278
-225.2800000000000 -0.0000000024201
-222.7200000000000 -0.0000000026500
-220.1600000000000 -0.0000000029334
-217.6000000000000 -0.0000000032816
-215.0400000000000 -0.0000000037099
-212.4800000000000 -0.0000000042047
-209.9200000000000 -0.0000000047430
-207.3600000000000 -0.0000000053124
-204.8000000000000 -0.0000000059157
-202.2400000000000 -0.0000000066280
-199.6800000000000 -0.0000000075277
-197.1200000000000 -0.0000000086524
-194.5600000000000 -0.0000000100286
-192.0000000000000 -0.0000000115569
-189.4400000000000 -0.0000000131242
-186.8800000000000 -0.0000000147869
-184.3200000000000 -0.0000000167405
-181.7600000000000 -0.0000000192457
-179.2000000000000 -0.0000000223706
-176.6400000000000 -0.0000000259308
-174.0800000000000 -0.0000000297388
-171.5200000000000 -0.0000000339184
-168.9600000000000 -0.0000000389426
-166.4000000000000 -0.0000000451574
-163.8400000000000 -0.0000000522541
-161.2800000000000 -0.0000000599574
-158.7200000000000 -0.0000000687599
-156.1600000000000 -0.0000000796788
-153.6000000000000 -0.0000000929158
-151.0400000000000 -0.0000001073384
-148.4800000000000 -0.0000001231200
-145.9200000000000 -0.0000001424169
-143.3600000000000 -0.0000001655892
-140.8000000000000 -0.0000001914918
